# AoA, Cl, Cd, Endurance
5.000000000000000000e-01,1.276699999999999946e+00,1.447000000000000022e-02,9.969302095885851145e+01
1.000000000000000000e+00,1.331499999999999906e+00,1.446000000000000063e-02,1.062535534689895087e+02
1.500000000000000000e+00,1.384800000000000031e+00,1.416000000000000071e-02,1.150846308379147160e+02
2.000000000000000000e+00,1.434900000000000064e+00,1.433000000000000072e-02,1.199461362825704924e+02
2.500000000000000000e+00,1.486099999999999977e+00,1.469999999999999953e-02,1.232408589417422604e+02
3.000000000000000000e+00,1.537199999999999900e+00,1.507999999999999965e-02,1.263846185934479252e+02
3.500000000000000000e+00,1.588300000000000045e+00,1.545999999999999978e-02,1.294760120195742843e+02
4.000000000000000000e+00,1.639199999999999990e+00,1.583000000000000032e-02,1.325766385018789606e+02
4.500000000000000000e+00,1.689999999999999947e+00,1.619999999999999912e-02,1.356172839506172920e+02
5.000000000000000000e+00,1.739900000000000002e+00,1.658000000000000099e-02,1.384209756328714604e+02
5.500000000000000000e+00,1.787700000000000067e+00,1.697999999999999857e-02,1.407681082634414622e+02
6.000000000000000000e+00,1.832100000000000062e+00,1.743000000000000105e-02,1.422742729529348651e+02
6.500000000000000000e+00,1.873199999999999976e+00,1.794000000000000108e-02,1.429070930041733618e+02
7.000000000000000000e+00,1.910900000000000043e+00,1.848999999999999949e-02,1.428630867742324710e+02
7.500000000000000000e+00,1.944299999999999917e+00,1.907999999999999974e-02,1.420909912220863305e+02
8.000000000000000000e+00,1.975000000000000089e+00,1.973000000000000101e-02,1.406771511000836767e+02
8.500000000000000000e+00,2.006800000000000139e+00,2.041000000000000106e-02,1.392878176077801982e+02
9.000000000000000000e+00,2.033700000000000063e+00,2.127000000000000071e-02,1.363524177336487355e+02
9.500000000000000000e+00,2.048000000000000043e+00,2.256999999999999978e-02,1.298564031665274570e+02
1.000000000000000000e+01,2.073999999999999844e+00,2.361999999999999864e-02,1.264541931272365360e+02
1.050000000000000000e+01,2.071699999999999875e+00,2.571999999999999981e-02,1.159362729489806441e+02
1.100000000000000000e+01,2.060000000000000053e+00,2.875000000000000125e-02,1.028402163286229154e+02
1.150000000000000000e+01,2.052999999999999936e+00,3.209000000000000047e-02,9.166714534365107170e+01
1.200000000000000000e+01,2.045300000000000118e+00,3.602999999999999953e-02,8.118415325996876675e+01
1.250000000000000000e+01,2.034699999999999953e+00,4.071999999999999925e-02,7.127591615768294275e+01
1.300000000000000000e+01,2.020700000000000163e+00,4.612999999999999740e-02,6.226862955101753982e+01
1.350000000000000000e+01,2.001500000000000057e+00,5.242999999999999744e-02,5.400743280198970098e+01
1.400000000000000000e+01,1.979500000000000037e+00,5.938999999999999835e-02,4.689428665460827261e+01
1.450000000000000000e+01,1.954599999999999893e+00,6.700000000000000400e-02,4.078608678066490256e+01
1.500000000000000000e+01,1.925400000000000000e+00,7.545999999999999930e-02,3.540500420911762092e+01
1.550000000000000000e+01,1.889599999999999946e+00,8.505000000000000060e-02,3.054080657330966275e+01
1.600000000000000000e+01,1.846600000000000019e+00,9.594999999999999363e-02,2.615256365074422362e+01
1.650000000000000000e+01,1.795900000000000052e+00,1.082300000000000068e-01,2.223696780177275656e+01
1.700000000000000000e+01,1.749800000000000022e+00,1.202700000000000019e-01,1.924532756151997503e+01
1.750000000000000000e+01,1.724099999999999966e+00,1.299299999999999899e-01,1.742345344725016432e+01
1.800000000000000000e+01,1.710800000000000098e+00,1.380300000000000138e-01,1.621158114304368070e+01
1.850000000000000000e+01,1.701699999999999990e+00,1.455899999999999972e-01,1.524730024078150770e+01
1.900000000000000000e+01,1.695699999999999985e+00,1.527300000000000046e-01,1.445769899072669418e+01
1.950000000000000000e+01,1.692800000000000082e+00,1.592899999999999872e-01,1.382674531304138021e+01
2.000000000000000000e+01,1.355099999999999971e+00,1.663499999999999979e-01,9.482748069773849764e+00
