# AoA, Cl, Cd, Endurance
5.000000000000000000e-01,1.183799999999999963e+00,1.536999999999999998e-02,8.379992616010889606e+01
1.000000000000000000e+00,1.239100000000000090e+00,1.549000000000000030e-02,8.904470874192639940e+01
1.500000000000000000e+00,1.290899999999999936e+00,1.566000000000000031e-02,9.365848824238250359e+01
2.000000000000000000e+00,1.346100000000000074e+00,1.583000000000000032e-02,9.865862797308662380e+01
2.500000000000000000e+00,1.399000000000000021e+00,1.600000000000000033e-02,1.034204895189717774e+02
3.000000000000000000e+00,1.449799999999999978e+00,1.623000000000000137e-02,1.075582241863602775e+02
3.500000000000000000e+00,1.504499999999999948e+00,1.634000000000000036e-02,1.129369970712077702e+02
4.000000000000000000e+00,1.551099999999999923e+00,1.595999999999999849e-02,1.210394132543606105e+02
4.500000000000000000e+00,1.599199999999999955e+00,1.641000000000000097e-02,1.232382692860058313e+02
5.000000000000000000e+00,1.649499999999999966e+00,1.683000000000000121e-02,1.258764144993647420e+02
5.500000000000000000e+00,1.702299999999999924e+00,1.720000000000000001e-02,1.291295691018828506e+02
6.000000000000000000e+00,1.744799999999999907e+00,1.762000000000000025e-02,1.308014549368996882e+02
6.500000000000000000e+00,1.786899999999999933e+00,1.804000000000000048e-02,1.324078824301081454e+02
7.000000000000000000e+00,1.827800000000000091e+00,1.847000000000000031e-02,1.337907579317827924e+02
7.500000000000000000e+00,1.866200000000000081e+00,1.890000000000000013e-02,1.348886702827362001e+02
8.000000000000000000e+00,1.900099999999999900e+00,1.935999999999999874e-02,1.352880178899243617e+02
8.500000000000000000e+00,1.929400000000000004e+00,1.986999999999999877e-02,1.348762691084511403e+02
9.000000000000000000e+00,1.956599999999999895e+00,2.045999999999999902e-02,1.337665247959130284e+02
9.500000000000000000e+00,1.982699999999999907e+00,2.116000000000000172e-02,1.319379848219996347e+02
1.000000000000000000e+01,1.997900000000000009e+00,2.222999999999999976e-02,1.270343464510695526e+02
1.050000000000000000e+01,2.013199999999999878e+00,2.348000000000000087e-02,1.216556518288347206e+02
1.100000000000000000e+01,2.026899999999999924e+00,2.503000000000000017e-02,1.152889368796411134e+02
1.150000000000000000e+01,2.035800000000000054e+00,2.704000000000000153e-02,1.074226786997906800e+02
1.200000000000000000e+01,2.039299999999999891e+00,2.965999999999999887e-02,9.818621805575118344e+01
1.250000000000000000e+01,2.039899999999999824e+00,3.287999999999999950e-02,8.860974934970111860e+01
1.300000000000000000e+01,2.036700000000000177e+00,3.683000000000000163e-02,7.892032703419636164e+01
1.350000000000000000e+01,2.028000000000000025e+00,4.172000000000000014e-02,6.922414911824640171e+01
1.400000000000000000e+01,2.015299999999999869e+00,4.746999999999999831e-02,6.026849209124314655e+01
1.450000000000000000e+01,1.999600000000000044e+00,5.401000000000000245e-02,5.235287241319362295e+01
1.500000000000000000e+01,1.981999999999999984e+00,6.113999999999999990e-02,4.563836116033932200e+01
1.550000000000000000e+01,1.963999999999999968e+00,6.870999999999999330e-02,4.005827804188145080e+01
1.600000000000000000e+01,1.947300000000000031e+00,7.642999999999999794e-02,3.555375179181291401e+01
1.650000000000000000e+01,1.932199999999999918e+00,8.418000000000000482e-02,3.190576743523186209e+01
1.750000000000000000e+01,1.908400000000000096e+00,9.930999999999999550e-02,2.654673594104578171e+01
1.800000000000000000e+01,1.899499999999999966e+00,1.066300000000000026e-01,2.455158517543953067e+01
1.850000000000000000e+01,1.891899999999999915e+00,1.137900000000000023e-01,2.286878904826833292e+01
1.900000000000000000e+01,1.885699999999999932e+00,1.207499999999999962e-01,2.144478824468161093e+01
1.950000000000000000e+01,1.881199999999999983e+00,1.275000000000000022e-01,2.023682007216099166e+01
2.000000000000000000e+01,1.877299999999999969e+00,1.341199999999999892e-01,1.917816167457549170e+01
