# AoA, Cl, Cd, Endurance
5.000000000000000000e-01,1.241000000000000103e+00,1.644999999999999934e-02,8.404110808543381950e+01
1.000000000000000000e+00,1.297199999999999909e+00,1.683000000000000121e-02,8.778620887227697267e+01
1.500000000000000000e+00,1.359499999999999931e+00,1.733000000000000165e-02,9.146822579391708530e+01
2.000000000000000000e+00,1.418199999999999905e+00,1.769000000000000086e-02,9.547252059709420280e+01
2.500000000000000000e+00,1.482299999999999951e+00,1.825999999999999845e-02,9.883332121163920192e+01
3.000000000000000000e+00,1.540799999999999947e+00,1.865999999999999950e-02,1.024962001983323177e+02
3.500000000000000000e+00,1.602300000000000058e+00,1.915999999999999995e-02,1.058571614611345524e+02
4.000000000000000000e+00,1.643399999999999972e+00,1.930000000000000118e-02,1.091585140154257090e+02
4.500000000000000000e+00,1.697400000000000020e+00,1.992000000000000021e-02,1.110163546508518237e+02
5.000000000000000000e+00,1.754599999999999937e+00,2.067000000000000087e-02,1.124415207970797184e+02
5.500000000000000000e+00,1.806999999999999940e+00,2.139999999999999888e-02,1.135072117294542693e+02
6.000000000000000000e+00,1.857299999999999951e+00,2.205999999999999975e-02,1.147407224397127408e+02
6.500000000000000000e+00,1.914099999999999913e+00,2.293999999999999859e-02,1.154392565942121252e+02
7.000000000000000000e+00,1.955699999999999994e+00,2.358999999999999986e-02,1.159378954849932768e+02
7.500000000000000000e+00,2.002899999999999903e+00,2.427999999999999950e-02,1.167455182554320885e+02
8.000000000000000000e+00,2.047000000000000153e+00,2.515999999999999834e-02,1.164035236991522311e+02
8.500000000000000000e+00,2.085199999999999942e+00,2.590999999999999900e-02,1.162128525304402302e+02
9.000000000000000000e+00,2.124299999999999855e+00,2.680000000000000090e-02,1.155284587806921763e+02
9.500000000000000000e+00,2.152899999999999814e+00,2.765000000000000097e-02,1.142459072918094449e+02
1.000000000000000000e+01,2.182199999999999918e+00,2.864999999999999838e-02,1.125167555953644154e+02
1.050000000000000000e+01,2.205799999999999983e+00,2.970000000000000070e-02,1.103043778110280613e+02
1.100000000000000000e+01,2.229299999999999837e+00,3.105000000000000121e-02,1.071991074822479391e+02
1.150000000000000000e+01,2.255199999999999871e+00,3.241000000000000131e-02,1.044957345695279827e+02
1.200000000000000000e+01,2.269600000000000062e+00,3.418999999999999817e-02,1.000057297753046157e+02
1.250000000000000000e+01,2.285499999999999865e+00,3.620000000000000301e-02,9.544721654325802263e+01
1.300000000000000000e+01,2.298500000000000210e+00,3.858000000000000318e-02,9.032428633298735576e+01
1.350000000000000000e+01,2.306999999999999940e+00,4.154000000000000054e-02,8.435384816257986529e+01
1.400000000000000000e+01,2.309699999999999864e+00,4.538999999999999979e-02,7.733448162357926492e+01
1.450000000000000000e+01,2.305000000000000160e+00,5.043999999999999873e-02,6.937952412537291025e+01
1.500000000000000000e+01,2.289800000000000058e+00,5.727000000000000146e-02,6.050191811036226142e+01
1.550000000000000000e+01,2.263199999999999878e+00,6.633999999999999619e-02,5.132263366749214129e+01
1.600000000000000000e+01,2.223599999999999799e+00,7.831000000000000461e-02,4.234164962640906538e+01
1.650000000000000000e+01,2.176699999999999857e+00,9.246000000000000052e-02,3.473313439626622312e+01
1.700000000000000000e+01,2.132899999999999796e+00,1.068000000000000060e-01,2.916651155459953415e+01
1.750000000000000000e+01,2.094399999999999817e+00,1.204299999999999954e-01,2.516835073498559439e+01
1.800000000000000000e+01,2.064900000000000180e+00,1.326400000000000079e-01,2.237041408883021276e+01
1.850000000000000000e+01,2.044000000000000039e+00,1.433399999999999952e-01,2.038702882955330864e+01
1.900000000000000000e+01,2.031000000000000139e+00,1.525900000000000034e-01,1.896875433845887926e+01
1.950000000000000000e+01,2.024700000000000166e+00,1.605000000000000038e-01,1.795006342878454930e+01
2.000000000000000000e+01,2.022800000000000153e+00,1.675099999999999922e-01,1.717468098135105947e+01
