xflr5 v6.11

 Calculated polar for: CLARK K AIRFOIL

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.300 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
-19.000,-0.5404, 0.23607, 0.23185, 0.0177,1.0000,0.0248,-1.2945, 0.0000, 0.2618
-18.500,-0.5280, 0.22924, 0.22502, 0.0139,1.0000,0.0251,-1.3278, 0.0000, 0.2559
-18.000,-0.5157, 0.22245, 0.21824, 0.0102,1.0000,0.0254,-1.3629, 0.0000, 0.2498
-17.500,-0.5044, 0.21598, 0.21178, 0.0064,1.0000,0.0256,-1.4066, 0.0000, 0.2432
-17.000,-0.4945, 0.20995, 0.20576, 0.0025,1.0000,0.0258,-1.4638, 0.0000, 0.2360
-16.500,-0.4826, 0.19044, 0.18633, 0.0031,1.0000,0.0303,-1.4107, 0.0000, 0.2374
-16.000,-0.4626, 0.18678, 0.18272, 0.0017,1.0000,0.0372,-1.2124, 0.0000, 0.2354
-15.500,-0.4443, 0.18361, 0.17958,-0.0019,1.0000,0.0481,-1.1475, 0.0000, 0.2281
-15.000,-0.4311, 0.17859, 0.17458,-0.0054,1.0000,0.0493,-1.1553, 0.0000, 0.2202
-14.500,-0.4204, 0.17208, 0.16809,-0.0086,1.0000,0.0497,-1.1721, 0.0000, 0.2127
-14.000,-0.4105, 0.16335, 0.15938,-0.0113,1.0000,0.0494,-1.1975, 0.0000, 0.2060
-13.500,-0.4020, 0.15391, 0.14995,-0.0138,1.0000,0.0489,-1.2309, 0.0000, 0.1995
-13.000,-0.4063, 0.13945, 0.13549,-0.0158,1.0000,0.0379,-1.4108, 0.0000, 0.1953
-12.500,-0.4214, 0.12483, 0.12084,-0.0203,1.0000,0.0328,-1.7716, 0.0000, 0.1863
-12.000,-0.4051, 0.12138, 0.11744,-0.0231,1.0000,0.0471,-1.6670, 0.0000, 0.1782
-11.500,-0.3891, 0.11951, 0.11562,-0.0290,1.0000,0.0509,-1.5871, 0.0000, 0.1618
-11.000,-0.3802, 0.11326, 0.10940,-0.0325,1.0000,0.0510,-1.5304, 0.0000, 0.1516
-10.500,-0.3715, 0.10694, 0.10311,-0.0356,1.0000,0.0511,-1.5731, 0.0000, 0.1419
-10.000,-0.3929, 0.09296, 0.08919,-0.0377,1.0000,0.0546,-1.7678, 0.0000, 0.1429
 -9.500,-0.3859, 0.08809, 0.08438,-0.0382,1.0000,0.0553,-1.7495, 0.0000, 0.1408
 -9.000,-0.3922, 0.08344, 0.07983,-0.0372,1.0000,0.0559,-1.7704, 0.0000, 0.1462
 -8.500,-0.4333, 0.08047, 0.07700,-0.0306,0.9999,0.0562,-1.8467, 0.0000, 0.1721
 -8.000,-0.3995, 0.07107, 0.06756,-0.0436,0.9899,0.0570,-1.8662, 0.0000, 0.1342
 -7.500,-0.3570, 0.06367, 0.06008,-0.0536,0.9737,0.0586,-1.8210, 0.0000, 0.0935
 -7.000,-0.3108, 0.05606, 0.05233,-0.0635,0.9522,0.0599,-1.7970, 0.0000, 0.0394
 -6.500,-0.2567, 0.04809, 0.04412,-0.0734,0.9309,0.0600,-1.7958, 0.0000,-0.0428
 -6.000,-0.1960, 0.04161, 0.03737,-0.0819,0.9071,0.0600,-1.7570, 0.0000,-0.1755
 -5.500,-0.1569, 0.03716, 0.03271,-0.0832,0.8925,0.0600,-1.7138, 0.0000,-0.2886
 -5.000,-0.1189, 0.03336, 0.02870,-0.0833,0.8787,0.0601,-1.6593, 0.0000,-0.4599
 -4.500,-0.0744, 0.02992, 0.02502,-0.0840,0.8620,0.0602,-1.5895, 0.0000,-0.8926
 -4.000,-0.0247, 0.02684, 0.02168,-0.0852,0.8442,0.0604,-1.5067, 0.0000,-3.2307
 -3.500, 0.0263, 0.02420, 0.01875,-0.0862,0.8230,0.0606,-1.4161, 0.0000, 3.5550
 -3.000, 0.0777, 0.02208, 0.01638,-0.0873,0.7981,0.0609,-1.3205, 0.0000, 1.3805
 -2.500, 0.1220, 0.02030, 0.01444,-0.0864,0.7923,0.0613,-1.2284, 0.0000, 0.9616
 -2.000, 0.1667, 0.01874, 0.01270,-0.0852,0.7789,0.0618,-1.1330, 0.0000, 0.7632
 -1.500, 0.2150, 0.01736, 0.01113,-0.0848,0.7622,0.0625,-1.0318, 0.0000, 0.6450
 -1.000, 0.2662, 0.01616, 0.00973,-0.0848,0.7445,0.0634,-0.9258, 0.0000, 0.5685
 -0.500, 0.3192, 0.01516, 0.00848,-0.0851,0.7169,0.0649,-0.8161, 0.0000, 0.5160
  0.000, 0.3711, 0.01446, 0.00786,-0.0854,0.6947,0.0694,-0.7027, 0.0000, 0.4792
  0.500, 0.4207, 0.01392, 0.00726,-0.0851,0.6835,0.0735,-0.7512, 0.0000, 0.4508
  2.000, 0.5698, 0.01189, 0.00520,-0.0850,0.6216,0.1021,-0.9654, 0.0000, 0.3964
  2.500, 0.6207, 0.01130, 0.00430,-0.0846,0.5960,0.1135,-1.0417, 0.0000, 0.3833
  3.000, 0.6713, 0.01112, 0.00396,-0.0843,0.5883,0.1215,-1.1200, 0.0000, 0.3721
  3.500, 0.7222, 0.01115, 0.00379,-0.0839,0.5721,0.1264,-1.1999, 0.0000, 0.3623
  4.000, 0.7719, 0.01133, 0.00371,-0.0833,0.5426,0.1220,-1.2804, 0.0000, 0.3536
  4.500, 0.8202, 0.01176, 0.00393,-0.0825,0.4961,0.1127,-1.3989, 0.0000, 0.3458
  5.000, 0.8693, 0.01198, 0.00427,-0.0818,0.4809,0.1070,-1.5354, 0.0000, 0.3389
  6.000, 0.9545, 0.01332, 0.00468,-0.0786,0.3722,0.0861,-1.8051, 0.0000, 0.3259
  6.500, 0.9906, 0.01431, 0.00519,-0.0761,0.2954,0.0825,-1.9361, 0.0000, 0.3198
  7.000, 1.0357, 0.01488, 0.00570,-0.0754,0.2713,0.0797,-2.0856, 0.0000, 0.3151
  7.500, 1.0719, 0.01602, 0.00645,-0.0732,0.2134,0.0785,-2.2255, 0.0000, 0.3099
  8.000, 1.1162, 0.01669, 0.00714,-0.0723,0.1925,0.0819,-2.3864, 0.0000, 0.3057
  8.500, 1.1588, 0.01737, 0.00787,-0.0713,0.1745,0.1936,-2.6366, 0.0000, 0.3017
  9.000, 1.1622, 0.02073, 0.00991,-0.0648,0.0625,0.2067,-2.8777, 0.0000, 0.2952
 10.500, 1.1908, 0.02940, 0.02071,-0.0474,0.0263,1.0000,-3.4637, 0.0000, 0.2766
 11.000, 1.2067, 0.03255, 0.02407,-0.0429,0.0298,1.0000,-3.7105, 0.0000, 0.2715
 17.500, 0.8903, 0.21007, 0.20603,-0.0844,0.0468,1.0000,-1.8504, 0.0000, 0.3220
 18.000, 0.8991, 0.21858, 0.21453,-0.0903,0.0351,1.0000,-1.8704, 0.0000, 0.3269
 18.500, 0.9153, 0.22165, 0.21756,-0.0912,0.0290,1.0000,-2.1484, 0.0000, 0.3247


