xflr5 v6.11

 Calculated polar for: CLARK Y AIRFOIL

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.300 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
-19.500,-0.5878, 0.23784, 0.23450, 0.0166,1.0000,0.0199,-1.7109, 0.0000, 0.2578
-19.000,-0.5722, 0.23135, 0.22802, 0.0125,1.0000,0.0199,-1.6933, 0.0000, 0.2518
-18.500,-0.5567, 0.22456, 0.22124, 0.0085,1.0000,0.0200,-1.7463, 0.0000, 0.2458
-18.000,-0.5415, 0.21753, 0.21423, 0.0047,1.0000,0.0200,-1.8070, 0.0000, 0.2395
-17.000,-0.5055, 0.19964, 0.19636, 0.0012,1.0000,0.0217,-1.7072, 0.0000, 0.2340
-16.500,-0.4888, 0.19371, 0.19044,-0.0015,1.0000,0.0230,-1.6554, 0.0000, 0.2289
-16.000,-0.4730, 0.18757, 0.18428,-0.0045,1.0000,0.0256,-1.6358, 0.0000, 0.2229
-15.500,-0.4605, 0.18109, 0.17782,-0.0093,1.0000,0.0293,-1.7687, 0.0000, 0.2124
-15.000,-0.4543, 0.17471, 0.17146,-0.0143,1.0000,0.0297,-1.9336, 0.0000, 0.2016
-14.500,-0.4460, 0.16749, 0.16426,-0.0181,1.0000,0.0299,-2.0422, 0.0000, 0.1927
-14.000,-0.4364, 0.15977, 0.15656,-0.0217,1.0000,0.0300,-2.1292, 0.0000, 0.1840
-13.500,-0.4211, 0.14989, 0.14670,-0.0218,1.0000,0.0313,-2.0494, 0.0000, 0.1820
-13.000,-0.4042, 0.14420, 0.14101,-0.0229,1.0000,0.0329,-1.9106, 0.0000, 0.1776
-12.500,-0.3924, 0.13791, 0.13473,-0.0252,1.0000,0.0354,-1.8594, 0.0000, 0.1705
-12.000,-0.3961, 0.13008, 0.12694,-0.0319,1.0000,0.0396,-2.0802, 0.0000, 0.1547
-11.500,-0.3951, 0.12184, 0.11873,-0.0372,1.0000,0.0400,-2.2228, 0.0000, 0.1415
-11.000,-0.3817, 0.11437, 0.11128,-0.0359,1.0000,0.0416,-2.0443, 0.0000, 0.1421
-10.500,-0.3670, 0.10901, 0.10595,-0.0366,1.0000,0.0436,-1.8998, 0.0000, 0.1369
-10.000,-0.3649, 0.10198, 0.09897,-0.0399,1.0000,0.0480,-1.9283, 0.0000, 0.1279
 -9.500,-0.3971, 0.09000, 0.08713,-0.0477,1.0000,0.0508,-2.3354, 0.0000, 0.1183
 -9.000,-0.3843, 0.08728, 0.08445,-0.0435,1.0000,0.0525,-2.1029, 0.0000, 0.1259
 -8.500,-0.4038, 0.08392, 0.08121,-0.0392,1.0000,0.0544,-2.0973, 0.0000, 0.1433
 -7.000,-0.3383, 0.05249, 0.04946,-0.0780,0.9719,0.0695,-2.1931, 0.0000, 0.0106
 -6.500,-0.2754, 0.04613, 0.04223,-0.0887,0.9615,0.0799,-2.1680, 0.0000,-0.0825
 -6.000,-0.2460, 0.03371, 0.02942,-0.0926,0.9475,0.0848,-2.1311, 0.0000,-0.1373
 -5.000,-0.1407, 0.01747, 0.01074,-0.0924,0.9248,0.0496,-2.2419, 0.0000,-0.4251
 -4.500,-0.0863, 0.01522, 0.00828,-0.0920,0.9123,0.0513,-2.0830, 0.0000,-0.8420
 -4.000,-0.0288, 0.01407, 0.00709,-0.0920,0.9007,0.0553,-1.8935, 0.0000,-3.0129
 -3.500, 0.0236, 0.01331, 0.00623,-0.0909,0.8843,0.0590,-1.7075, 0.0000, 4.1657
 -3.000, 0.0751, 0.01223, 0.00504,-0.0895,0.8666,0.0638,-1.5337, 0.0000, 1.4599
