xflr5 v6.11

 Calculated polar for: DAE-11 AIRFOIL

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.300 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
-20.000,-0.3625, 0.22536, 0.22217,-0.0208,0.8948,0.0139,-1.3644, 0.0000, 0.1632
-19.500,-0.3426, 0.21932, 0.21592,-0.0256,0.8613,0.0140,-1.3304, 0.0000, 0.1453
-19.000,-0.3255, 0.21355, 0.21006,-0.0294,0.8451,0.0140,-1.3177, 0.0000, 0.1290
-18.500,-0.3090, 0.20784, 0.20424,-0.0330,0.8325,0.0140,-1.3359, 0.0000, 0.1119
-18.000,-0.2916, 0.20186, 0.19821,-0.0368,0.8237,0.0140,-1.3545, 0.0000, 0.0913
-17.500,-0.2741, 0.19573, 0.19205,-0.0407,0.8162,0.0141,-1.3761, 0.0000, 0.0681
-16.500,-0.2402, 0.17907, 0.17529,-0.0480,0.8029,0.0145,-1.5198, 0.0000, 0.0131
-16.000,-0.2149, 0.17007, 0.16624,-0.0508,0.7968,0.0150,-1.4240, 0.0000,-0.0267
-15.500,-0.1940, 0.16366, 0.15982,-0.0540,0.7923,0.0156,-1.3578, 0.0000,-0.0718
-15.000,-0.1746, 0.15769, 0.15384,-0.0572,0.7870,0.0163,-1.3165, 0.0000,-0.1247
-14.500,-0.1560, 0.15186, 0.14795,-0.0605,0.7822,0.0173,-1.2955, 0.0000,-0.1888
-14.000,-0.1380, 0.14603, 0.14208,-0.0637,0.7777,0.0187,-1.2930, 0.0000,-0.2680
-13.500,-0.1205, 0.14029, 0.13631,-0.0669,0.7733,0.0210,-1.3181, 0.0000,-0.3682
-13.000,-0.1072, 0.13718, 0.13317,-0.0709,0.7679,0.0236,-1.4110, 0.0000,-0.4793
