xflr5 v6.11

 Calculated polar for: EPPLER 67 AIRFOIL

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.300 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
-17.500,-0.4598, 0.19628, 0.19294,-0.0256,1.0000,0.0179,-1.8360, 0.0000, 0.1731
-17.000,-0.4465, 0.18837, 0.18503,-0.0267,1.0000,0.0187,-1.7382, 0.0000, 0.1694
-16.500,-0.4329, 0.18254, 0.17921,-0.0279,1.0000,0.0194,-1.6201, 0.0000, 0.1652
-16.000,-0.4206, 0.17736, 0.17404,-0.0292,1.0000,0.0201,-1.5212, 0.0000, 0.1606
-15.500,-0.4093, 0.17249, 0.16919,-0.0306,1.0000,0.0209,-1.4397, 0.0000, 0.1557
-15.000,-0.3990, 0.16728, 0.16394,-0.0320,1.0000,0.0219,-1.3989, 0.0000, 0.1506
-14.500,-0.3894, 0.16180, 0.15848,-0.0334,1.0000,0.0230,-1.3841, 0.0000, 0.1456
-14.000,-0.3808, 0.15620, 0.15290,-0.0347,1.0000,0.0243,-1.3798, 0.0000, 0.1406
-13.500,-0.3733, 0.15048, 0.14722,-0.0360,1.0000,0.0258,-1.3863, 0.0000, 0.1360
-13.000,-0.3672, 0.14469, 0.14146,-0.0372,1.0000,0.0276,-1.4062, 0.0000, 0.1317
-12.500,-0.3630, 0.13899, 0.13580,-0.0385,1.0000,0.0297,-1.4508, 0.0000, 0.1274
-12.000,-0.3611, 0.13462, 0.13148,-0.0403,1.0000,0.0319,-1.5128, 0.0000, 0.1228
-11.500,-0.3583, 0.12968, 0.12660,-0.0407,1.0000,0.0325,-1.5381, 0.0000, 0.1215
-11.000,-0.3595, 0.12426, 0.12123,-0.0405,1.0000,0.0327,-1.5770, 0.0000, 0.1231
-10.500,-0.3643, 0.11883, 0.11588,-0.0397,1.0000,0.0329,-1.6246, 0.0000, 0.1278
-10.000,-0.3730, 0.11351, 0.11063,-0.0382,1.0000,0.0329,-1.6800, 0.0000, 0.1354
 -9.500,-0.3854, 0.10829, 0.10550,-0.0364,1.0000,0.0330,-1.7439, 0.0000, 0.1445
 -9.000,-0.3751, 0.09957, 0.09680,-0.0424,0.9970,0.0331,-1.8201, 0.0000, 0.1260
 -8.500,-0.3577, 0.08895, 0.08620,-0.0523,0.9910,0.0331,-1.9251, 0.0000, 0.0929
 -7.000,-0.3551, 0.03136, 0.02669,-0.1032,0.9488,0.0180,-3.5265, 0.0000,-0.0509
 -6.500,-0.3096, 0.02625, 0.02098,-0.1041,0.9387,0.0167,-3.3807, 0.0000,-0.0973
 -6.000,-0.2459, 0.02005, 0.01391,-0.1078,0.9338,0.0165,-3.2648, 0.0000,-0.2011
 -5.500,-0.1726, 0.01686, 0.01026,-0.1119,0.9307,0.0174,-2.9638, 0.0000,-0.4145
 -4.500,-0.0598, 0.01342, 0.00679,-0.1134,0.9132,0.1031,-2.3344, 0.0000,-1.6826
 -4.000, 0.0146, 0.01246, 0.00613,-0.1176,0.9084,0.1792,-1.7818, 0.0000, 8.4460
 -3.500, 0.0893, 0.01157, 0.00549,-0.1218,0.9043,0.2640,-1.3355, 0.0000, 1.6316
 -3.000, 0.1602, 0.01092, 0.00513,-0.1252,0.8989,0.3667,-1.0341, 0.0000, 1.0393
 -2.500, 0.2067, 0.01049, 0.00498,-0.1233,0.8845,0.4555,-0.8057, 0.0000, 0.8513
 -2.000, 0.2733, 0.01000, 0.00466,-0.1254,0.8761,0.5404,-0.5786, 0.0000, 0.7113
 -1.500, 0.3422, 0.00960, 0.00440,-0.1277,0.8671,0.6233,-0.5612, 0.0000, 0.6244
 -1.000, 0.3885, 0.00947, 0.00441,-0.1254,0.8526,0.6869,-0.5914, 0.0000, 0.5732
 -0.500, 0.4472, 0.00923, 0.00425,-0.1255,0.8404,0.7448,-0.6297, 0.0000, 0.5302
  0.000, 0.5031, 0.00911, 0.00423,-0.1248,0.8266,0.8006,-0.6699, 0.0000, 0.4972
  0.500, 0.5477, 0.00899, 0.00423,-0.1218,0.8103,0.8540,-0.7075, 0.0000, 0.4709
  1.000, 0.5997, 0.00885, 0.00405,-0.1201,0.7935,0.9065,-0.7529, 0.0000, 0.4483
  1.500, 0.6500, 0.00871, 0.00399,-0.1184,0.7769,0.9690,-0.8038, 0.0000, 0.4297
  2.000, 0.7209, 0.00865, 0.00383,-0.1218,0.7573,1.0000,-0.8762, 0.0000, 0.4160
  2.500, 0.7749, 0.00879, 0.00391,-0.1217,0.7362,1.0000,-0.9488, 0.0000, 0.4036
  3.000, 0.8314, 0.00892, 0.00389,-0.1218,0.7111,1.0000,-1.0369, 0.0000, 0.3926
  3.500, 0.8825, 0.00910, 0.00407,-0.1209,0.6862,1.0000,-1.1374, 0.0000, 0.3826
  4.000, 0.9353, 0.00938, 0.00420,-0.1203,0.6558,1.0000,-1.2530, 0.0000, 0.3737
  4.500, 0.9841, 0.00966, 0.00441,-0.1188,0.6224,1.0000,-1.4058, 0.0000, 0.3653
  5.000, 1.0316, 0.01002, 0.00473,-0.1172,0.5862,1.0000,-1.5839, 0.0000, 0.3576
  5.500, 1.0769, 0.01051, 0.00532,-0.1152,0.5440,1.0000,-1.8397, 0.0000, 0.3504
  6.000, 1.1182, 0.01114, 0.00580,-0.1125,0.4923,1.0000,-2.1927, 0.0000, 0.3434
  6.500, 1.1535, 0.01204, 0.00642,-0.1087,0.4293,1.0000,-2.5441, 0.0000, 0.3365
  7.000, 1.1859, 0.01308, 0.00722,-0.1047,0.3646,1.0000,-2.9007, 0.0000, 0.3299
  7.500, 1.2097, 0.01442, 0.00822,-0.0992,0.2917,1.0000,-3.2357, 0.0000, 0.3230
  8.000, 1.2324, 0.01597, 0.00943,-0.0939,0.2213,1.0000,-3.5771, 0.0000, 0.3166
  8.500, 1.2522, 0.01782, 0.01092,-0.0886,0.1574,1.0000,-3.9332, 0.0000, 0.3105
  9.000, 1.2741, 0.01969, 0.01268,-0.0839,0.1119,1.0000,-4.3611, 0.0000, 0.3049
  9.500, 1.2926, 0.02183, 0.01464,-0.0790,0.0766,1.0000,-4.7819, 0.0000, 0.2994
 10.000, 1.3045, 0.02455, 0.01729,-0.0736,0.0493,1.0000,-5.1496, 0.0000, 0.2940
 10.500, 1.3135, 0.02770, 0.02046,-0.0683,0.0269,1.0000,-5.4265, 0.0000, 0.2888
 11.000, 1.3147, 0.03165, 0.02460,-0.0627,0.0202,1.0000,-5.6376, 0.0000, 0.2837
 11.500, 1.3043, 0.03739, 0.03074,-0.0568,0.0169,1.0000,-5.7437, 0.0000, 0.2787
 12.000, 1.3182, 0.04086, 0.03444,-0.0541,0.0157,1.0000,-6.1377, 0.0000, 0.2753
 12.500, 1.3289, 0.04489, 0.03876,-0.0514,0.0150,1.0000,-6.4759, 0.0000, 0.2721
 13.000, 1.3353, 0.04945, 0.04364,-0.0489,0.0143,1.0000,-6.7744, 0.0000, 0.2692
 13.500, 1.3385, 0.05481, 0.04934,-0.0470,0.0135,1.0000,-7.0378, 0.0000, 0.2668
 14.000, 1.3376, 0.06099, 0.05586,-0.0459,0.0125,1.0000,-7.2558, 0.0000, 0.2650
 14.500, 1.3302, 0.06819, 0.06341,-0.0459,0.0115,1.0000,-7.4113, 0.0000, 0.2642
 15.000, 1.3170, 0.07650, 0.07207,-0.0472,0.0107,1.0000,-7.5054, 0.0000, 0.2645
 15.500, 1.2986, 0.08597, 0.08199,-0.0500,0.0102,1.0000,-7.5479, 0.0000, 0.2662
 16.000, 1.2738, 0.09701, 0.09341,-0.0548,0.0098,1.0000,-7.4873, 0.0000, 0.2697
 16.500, 1.2418, 0.10968, 0.10646,-0.0622,0.0097,1.0000,-7.3042, 0.0000, 0.2757
 17.000, 1.2009, 0.12653, 0.12363,-0.0729,0.0099,1.0000,-6.9234, 0.0000, 0.2855
 17.500, 1.1341, 0.15452, 0.15207,-0.0905,0.0109,1.0000,-6.0479, 0.0000, 0.3044
 18.000, 1.0316, 0.20706, 0.20470,-0.1145,0.0135,1.0000,-3.8094, 0.0000, 0.3371
 18.500, 1.0192, 0.22745, 0.22504,-0.1219,0.0133,1.0000,-3.2477, 0.0000, 0.3455
 19.000, 1.0139, 0.24490, 0.24247,-0.1277,0.0137,1.0000,-2.8622, 0.0000, 0.3515
 19.500, 1.0098, 0.26104, 0.25861,-0.1325,0.0148,1.0000,-2.5744, 0.0000, 0.3561
