xflr5 v6.11

 Calculated polar for: Apex 16 (normalized using XFOIL date021206)

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.300 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
-18.750,-0.4489, 0.21874, 0.21555,-0.0202,1.0000,0.0141,-1.2066, 0.0000, 0.1837
-18.500,-0.4437, 0.21599, 0.21280,-0.0212,1.0000,0.0141,-1.2107, 0.0000, 0.1812
-18.250,-0.4386, 0.21312, 0.20994,-0.0221,1.0000,0.0141,-1.2153, 0.0000, 0.1787
-18.000,-0.4337, 0.21010, 0.20694,-0.0231,1.0000,0.0141,-1.2207, 0.0000, 0.1762
-17.750,-0.4288, 0.20706, 0.20390,-0.0240,1.0000,0.0141,-1.2266, 0.0000, 0.1737
-17.500,-0.4241, 0.20400, 0.20086,-0.0250,1.0000,0.0141,-1.2330, 0.0000, 0.1712
-17.250,-0.4194, 0.20091, 0.19778,-0.0259,1.0000,0.0141,-1.2398, 0.0000, 0.1686
-17.000,-0.4148, 0.19779, 0.19467,-0.0267,1.0000,0.0141,-1.2469, 0.0000, 0.1662
-16.750,-0.4103, 0.19466, 0.19155,-0.0275,1.0000,0.0141,-1.2544, 0.0000, 0.1637
-16.500,-0.4060, 0.19152, 0.18842,-0.0283,1.0000,0.0142,-1.2623, 0.0000, 0.1613
-16.250,-0.4019, 0.18841, 0.18532,-0.0291,1.0000,0.0142,-1.2707, 0.0000, 0.1590
-16.000,-0.3980, 0.18533, 0.18226,-0.0297,1.0000,0.0142,-1.2795, 0.0000, 0.1569
-15.750,-0.3945, 0.18230, 0.17923,-0.0303,1.0000,0.0142,-1.2889, 0.0000, 0.1551
-15.500,-0.3912, 0.17888, 0.17563,-0.0307,1.0000,0.0141,-1.3087, 0.0000, 0.1536
-15.250,-0.3885, 0.17597, 0.17274,-0.0312,1.0000,0.0141,-1.3187, 0.0000, 0.1523
-15.000,-0.3861, 0.17318, 0.16996,-0.0315,1.0000,0.0142,-1.3274, 0.0000, 0.1512
-14.750,-0.3841, 0.17052, 0.16732,-0.0319,1.0000,0.0143,-1.3346, 0.0000, 0.1503
-14.500,-0.3824, 0.16799, 0.16481,-0.0322,1.0000,0.0144,-1.3407, 0.0000, 0.1495
-14.250,-0.3813, 0.16557, 0.16241,-0.0325,1.0000,0.0146,-1.3470, 0.0000, 0.1488
-14.000,-0.3807, 0.16325, 0.16010,-0.0329,1.0000,0.0147,-1.3551, 0.0000, 0.1481
-13.750,-0.3806, 0.16097, 0.15784,-0.0333,1.0000,0.0149,-1.3742, 0.0000, 0.1474
-13.500,-0.3808, 0.15866, 0.15556,-0.0337,1.0000,0.0149,-1.3856, 0.0000, 0.1469
-13.250,-0.3810, 0.15630, 0.15322,-0.0340,1.0000,0.0150,-1.3958, 0.0000, 0.1465
-13.000,-0.3814, 0.15389, 0.15084,-0.0343,1.0000,0.0150,-1.4115, 0.0000, 0.1464
-12.750,-0.4070, 0.13949, 0.13654,-0.0370,1.0000,0.0171,-1.8822, 0.0000, 0.1461
-12.500,-0.4084, 0.13618, 0.13325,-0.0364,1.0000,0.0179,-1.8781, 0.0000, 0.1482
-12.250,-0.4091, 0.13359, 0.13068,-0.0356,1.0000,0.0185,-1.8527, 0.0000, 0.1506
-12.000,-0.4095, 0.13128, 0.12839,-0.0348,1.0000,0.0191,-1.8218, 0.0000, 0.1531
-11.750,-0.3959, 0.12804, 0.12514,-0.0363,0.9989,0.0200,-1.7341, 0.0000, 0.1465
-11.500,-0.3800, 0.12515, 0.12224,-0.0376,0.9976,0.0215,-1.6140, 0.0000, 0.1391
-11.250,-0.3664, 0.12247, 0.11955,-0.0390,0.9961,0.0235,-1.5105, 0.0000, 0.1315
-11.000,-0.3552, 0.11960, 0.11668,-0.0408,0.9945,0.0255,-1.4450, 0.0000, 0.1232
-10.750,-0.3457, 0.11652, 0.11360,-0.0429,0.9926,0.0273,-1.4081, 0.0000, 0.1142
-10.500,-0.3373, 0.11329, 0.11037,-0.0451,0.9905,0.0289,-1.3895, 0.0000, 0.1047
-10.250,-0.3298, 0.10995, 0.10703,-0.0474,0.9882,0.0301,-1.3829, 0.0000, 0.0949
-10.000,-0.3227, 0.10653, 0.10362,-0.0498,0.9856,0.0311,-1.3841, 0.0000, 0.0846
 -9.750,-0.3161, 0.10309, 0.10019,-0.0522,0.9826,0.0319,-1.3895, 0.0000, 0.0740
 -9.500,-0.3100, 0.09968, 0.09678,-0.0546,0.9794,0.0328,-1.3971, 0.0000, 0.0631
 -9.250,-0.3043, 0.09625, 0.09337,-0.0571,0.9758,0.0337,-1.4071, 0.0000, 0.0516
 -9.000,-0.2988, 0.09272, 0.08984,-0.0599,0.9717,0.0346,-1.4197, 0.0000, 0.0393
 -8.750,-0.2937, 0.08910, 0.08623,-0.0628,0.9673,0.0356,-1.4357, 0.0000, 0.0260
 -8.500,-0.2891, 0.08532, 0.08246,-0.0661,0.9626,0.0365,-1.4567, 0.0000, 0.0116
 -8.250,-0.2856, 0.08127, 0.07842,-0.0699,0.9576,0.0373,-1.4865, 0.0000,-0.0042
 -8.000,-0.2852, 0.07651, 0.07366,-0.0749,0.9524,0.0377,-1.5387, 0.0000,-0.0217
 -7.750,-0.2902, 0.07190, 0.06901,-0.0802,0.9468,0.0378,-1.5994, 0.0000,-0.0345
 -7.500,-0.2961, 0.06787, 0.06491,-0.0845,0.9408,0.0380,-1.6465, 0.0000,-0.0430
 -7.250,-0.2995, 0.06476, 0.06170,-0.0867,0.9348,0.0387,-1.6688, 0.0000,-0.0465
 -7.000,-0.2940, 0.06180, 0.05863,-0.0886,0.9301,0.0403,-1.6620, 0.0000,-0.0581
 -6.750,-0.2773, 0.05938, 0.05608,-0.0908,0.9265,0.0431,-1.6182, 0.0000,-0.0845
 -6.500,-0.2398, 0.06111, 0.05771,-0.0923,0.9242,0.0491,-1.4552, 0.0000,-0.1426
 -6.250,-0.2167, 0.06028, 0.05676,-0.0938,0.9216,0.0505,-1.3776, 0.0000,-0.1912
