xflr5 v6.50

 Calculated polar for: CH10 (smoothed)

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.300 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
  0.000, 1.2200, 0.01477, 0.00733,-0.2796,0.7012,0.1281,-1.4620, 0.0000, 0.4778
  0.500, 1.2767, 0.01447, 0.00756,-0.2807,0.6947,0.3395,-1.5039, 0.0000, 0.4675
  1.000, 1.3315, 0.01446, 0.00787,-0.2811,0.6884,0.5292,-1.5463, 0.0000, 0.4579
  1.500, 1.3848, 0.01416, 0.00804,-0.2809,0.6826,0.7981,-1.5895, 0.0000, 0.4487
  2.000, 1.4349, 0.01433, 0.00820,-0.2802,0.6755,1.0000,-1.6306, 0.0000, 0.4402
  2.500, 1.4861, 0.01470, 0.00848,-0.2799,0.6684,1.0000,-1.6736, 0.0000, 0.4324
  3.000, 1.5372, 0.01508, 0.00879,-0.2796,0.6614,1.0000,-1.7179, 0.0000, 0.4250
  3.500, 1.5883, 0.01546, 0.00911,-0.2793,0.6545,1.0000,-1.7638, 0.0000, 0.4180
  4.000, 1.6392, 0.01583, 0.00945,-0.2790,0.6475,1.0000,-1.8119, 0.0000, 0.4115
  4.500, 1.6900, 0.01620, 0.00979,-0.2787,0.6404,1.0000,-1.8623, 0.0000, 0.4052
  5.000, 1.7399, 0.01658, 0.01016,-0.2782,0.6330,1.0000,-1.9155, 0.0000, 0.3993
  5.500, 1.7877, 0.01698, 0.01058,-0.2773,0.6251,1.0000,-1.9701, 0.0000, 0.3936
  6.000, 1.8321, 0.01743, 0.01108,-0.2758,0.6168,1.0000,-2.0250, 0.0000, 0.3880
  6.500, 1.8732, 0.01794, 0.01167,-0.2737,0.6080,1.0000,-2.0821, 0.0000, 0.3826
  7.000, 1.9109, 0.01849, 0.01232,-0.2710,0.5989,1.0000,-2.1404, 0.0000, 0.3773
  7.500, 1.9443, 0.01908, 0.01301,-0.2674,0.5893,1.0000,-2.1975, 0.0000, 0.3720
  8.000, 1.9750, 0.01973, 0.01376,-0.2634,0.5796,1.0000,-2.2543, 0.0000, 0.3669
  8.500, 2.0068, 0.02041, 0.01453,-0.2597,0.5698,1.0000,-2.3145, 0.0000, 0.3619
  9.000, 2.0337, 0.02127, 0.01551,-0.2553,0.5595,1.0000,-2.5051, 0.0000, 0.3569
  9.500, 2.0480, 0.02257, 0.01699,-0.2489,0.5479,1.0000,-2.7610, 0.0000, 0.3519
 10.000, 2.0740, 0.02362, 0.01813,-0.2447,0.5362,1.0000,-3.0723, 0.0000, 0.3472
 10.500, 2.0717, 0.02572, 0.02037,-0.2362,0.5190,1.0000,-3.2956, 0.0000, 0.3421
 11.000, 2.0600, 0.02875, 0.02353,-0.2271,0.4984,1.0000,-3.4879, 0.0000, 0.3372
 11.500, 2.0530, 0.03209, 0.02696,-0.2194,0.4766,1.0000,-3.7020, 0.0000, 0.3326
 12.000, 2.0453, 0.03603, 0.03097,-0.2123,0.4533,1.0000,-3.9256, 0.0000, 0.3283
 12.500, 2.0347, 0.04072, 0.03573,-0.2057,0.4281,1.0000,-4.1399, 0.0000, 0.3243
 13.000, 2.0207, 0.04613, 0.04118,-0.1993,0.4000,1.0000,-4.3421, 0.0000, 0.3206
 13.500, 2.0015, 0.05243, 0.04747,-0.1931,0.3682,1.0000,-4.5222, 0.0000, 0.3172
 14.000, 1.9795, 0.05939, 0.05439,-0.1874,0.3351,1.0000,-4.6903, 0.0000, 0.3140
 14.500, 1.9546, 0.06700, 0.06194,-0.1821,0.3015,1.0000,-4.8490, 0.0000, 0.3112
 15.000, 1.9254, 0.07546, 0.07032,-0.1772,0.2646,1.0000,-4.9825, 0.0000, 0.3088
 15.500, 1.8896, 0.08505, 0.07978,-0.1728,0.2236,1.0000,-5.0759, 0.0000, 0.3069
 16.000, 1.8466, 0.09595, 0.09045,-0.1692,0.1733,1.0000,-5.1204, 0.0000, 0.3058
 16.500, 1.7959, 0.10823, 0.10235,-0.1668,0.1123,1.0000,-5.1069, 0.0000, 0.3057
 17.000, 1.7498, 0.12027, 0.11402,-0.1659,0.0604,1.0000,-5.0945, 0.0000, 0.3064
 17.500, 1.7241, 0.12993, 0.12357,-0.1662,0.0386,1.0000,-5.1716, 0.0000, 0.3067
 18.000, 1.7108, 0.13803, 0.13174,-0.1672,0.0306,1.0000,-5.3099, 0.0000, 0.3067
 18.500, 1.7017, 0.14559, 0.13941,-0.1687,0.0261,1.0000,-5.4803, 0.0000, 0.3068
 19.000, 1.6957, 0.15273, 0.14667,-0.1706,0.0231,1.0000,-5.6648, 0.0000, 0.3068
 19.500, 1.6928, 0.15929, 0.15335,-0.1727,0.0207,1.0000,-5.8652, 0.0000, 0.3068
 20.000, 1.3551, 0.16635, 0.16173,-0.1356,0.0262,1.0000,-4.7056, 0.0000, 0.3061


