xflr5 v6.11

 Calculated polar for: E168  (12.45%)

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.300 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
-19.750,-0.7742, 0.25238, 0.24914, 0.0733,1.0000,0.0204,-1.5974, 0.0000, 0.3251
-19.500,-0.7691, 0.24752, 0.24428, 0.0709,1.0000,0.0216,-1.6351, 0.0000, 0.3228
-19.250,-0.7643, 0.24347, 0.24023, 0.0681,1.0000,0.0226,-1.6740, 0.0000, 0.3200
-19.000,-0.7584, 0.23926, 0.23601, 0.0660,1.0000,0.0230,-1.6840, 0.0000, 0.3182
-18.750,-0.7528, 0.23466, 0.23141, 0.0640,1.0000,0.0231,-1.6967, 0.0000, 0.3165
-18.500,-0.7473, 0.22989, 0.22665, 0.0620,1.0000,0.0232,-1.7121, 0.0000, 0.3147
-18.250,-0.7419, 0.22503, 0.22179, 0.0601,1.0000,0.0233,-1.7292, 0.0000, 0.3129
-18.000,-0.7365, 0.22011, 0.21687, 0.0581,1.0000,0.0233,-1.7481, 0.0000, 0.3111
-17.750,-0.7311, 0.21515, 0.21192, 0.0562,1.0000,0.0234,-1.7689, 0.0000, 0.3093
-17.500,-0.7259, 0.21016, 0.20693, 0.0543,1.0000,0.0234,-1.7916, 0.0000, 0.3074
-17.250,-0.7207, 0.20513, 0.20191, 0.0523,1.0000,0.0234,-1.8167, 0.0000, 0.3054
-17.000,-0.7157, 0.20006, 0.19684, 0.0504,1.0000,0.0234,-1.8447, 0.0000, 0.3034
-16.750,-0.7110, 0.19489, 0.19168, 0.0485,1.0000,0.0234,-1.8772, 0.0000, 0.3014
-16.500,-0.7238, 0.17827, 0.17507, 0.0455,1.0000,0.0111,-2.5908, 0.0000, 0.2954
-16.250,-0.7321, 0.16954, 0.16632, 0.0424,1.0000,0.0103,-2.9327, 0.0000, 0.2903
-16.000,-0.7462, 0.15938, 0.15617, 0.0381,1.0000,0.0100,-3.3652, 0.0000, 0.2833
-15.750,-0.7857, 0.14336, 0.14021, 0.0304,1.0000,0.0094,-4.2405, 0.0000, 0.2702
-15.500,-0.8267, 0.12785, 0.12458, 0.0219,1.0000,0.0090,-4.9201, 0.0000, 0.2574
-15.250,-0.8546, 0.11653, 0.11312, 0.0152,1.0000,0.0089,-5.2912, 0.0000, 0.2487
-15.000,-0.8777, 0.10681, 0.10327, 0.0094,1.0000,0.0088,-5.5554, 0.0000, 0.2417
-14.750,-0.8985, 0.09805, 0.09436, 0.0040,1.0000,0.0087,-5.7615, 0.0000, 0.2358
-14.500,-0.9183, 0.08985, 0.08601,-0.0010,1.0000,0.0086,-5.9345, 0.0000, 0.2306
-14.250,-0.9373, 0.08225, 0.07825,-0.0056,1.0000,0.0085,-6.0795, 0.0000, 0.2260
-14.000,-0.9554, 0.07545, 0.07129,-0.0096,1.0000,0.0085,-6.1981, 0.0000, 0.2224
-13.750,-0.9723, 0.06940, 0.06508,-0.0129,1.0000,0.0085,-6.2926, 0.0000, 0.2196
-13.500,-0.9878, 0.06355, 0.05905,-0.0161,1.0000,0.0084,-6.3692, 0.0000, 0.2170
-13.250,-1.0017, 0.05810, 0.05342,-0.0189,1.0000,0.0084,-6.4256, 0.0000, 0.2149
-13.000,-1.0137, 0.05312, 0.04826,-0.0212,1.0000,0.0084,-6.4594, 0.0000, 0.2133
-12.750,-1.0239, 0.04861, 0.04356,-0.0229,1.0000,0.0084,-6.4720, 0.0000, 0.2123
-12.500,-1.0327, 0.04452, 0.03929,-0.0242,1.0000,0.0084,-6.4664, 0.0000, 0.2117
-12.250,-1.0397, 0.04081, 0.03539,-0.0251,1.0000,0.0084,-6.4402, 0.0000, 0.2115
-12.000,-1.0449, 0.03747, 0.03187,-0.0255,1.0000,0.0085,-6.3940, 0.0000, 0.2117
