xflr5 v6.11

 Calculated polar for: (Dicke 12.28%)

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.300 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
-19.750,-0.7458, 0.25212, 0.24885, 0.0622,1.0000,0.0149,-1.5812, 0.0000, 0.3139
-19.500,-0.7400, 0.24772, 0.24446, 0.0605,1.0000,0.0155,-1.5581, 0.0000, 0.3126
-19.250,-0.7341, 0.24329, 0.24003, 0.0588,1.0000,0.0163,-1.5417, 0.0000, 0.3111
-19.000,-0.7283, 0.23872, 0.23546, 0.0570,1.0000,0.0168,-1.5398, 0.0000, 0.3096
-18.750,-0.7225, 0.23417, 0.23090, 0.0551,1.0000,0.0173,-1.5405, 0.0000, 0.3080
-18.500,-0.7167, 0.22964, 0.22637, 0.0533,1.0000,0.0179,-1.5431, 0.0000, 0.3063
-18.250,-0.7108, 0.22514, 0.22187, 0.0514,1.0000,0.0184,-1.5480, 0.0000, 0.3046
-18.000,-0.7049, 0.22066, 0.21739, 0.0495,1.0000,0.0191,-1.5553, 0.0000, 0.3028
-17.750,-0.6991, 0.21621, 0.21294, 0.0476,1.0000,0.0197,-1.5658, 0.0000, 0.3009
-17.500,-0.6932, 0.21179, 0.20853, 0.0456,1.0000,0.0205,-1.5805, 0.0000, 0.2988
-17.250,-0.6874, 0.20744, 0.20418, 0.0436,1.0000,0.0213,-1.6015, 0.0000, 0.2966
-17.000,-0.6818, 0.20324, 0.19999, 0.0413,1.0000,0.0222,-1.6321, 0.0000, 0.2940
-16.750,-0.6769, 0.19948, 0.19623, 0.0386,1.0000,0.0230,-1.6731, 0.0000, 0.2908
-16.500,-0.6710, 0.19604, 0.19280, 0.0362,1.0000,0.0237,-1.6949, 0.0000, 0.2880
-16.250,-0.6647, 0.19231, 0.18907, 0.0342,1.0000,0.0240,-1.7057, 0.0000, 0.2856
-16.000,-0.6588, 0.18832, 0.18509, 0.0321,1.0000,0.0241,-1.7201, 0.0000, 0.2833
-15.750,-0.6531, 0.18419, 0.18097, 0.0301,1.0000,0.0243,-1.7373, 0.0000, 0.2808
-15.500,-0.6477, 0.17999, 0.17677, 0.0281,1.0000,0.0243,-1.7570, 0.0000, 0.2784
-15.250,-0.6425, 0.17575, 0.17254, 0.0262,1.0000,0.0244,-1.7789, 0.0000, 0.2759
-15.000,-0.6375, 0.17150, 0.16830, 0.0242,1.0000,0.0244,-1.8031, 0.0000, 0.2733
-14.750,-0.6329, 0.16726, 0.16408, 0.0222,1.0000,0.0245,-1.8297, 0.0000, 0.2706
-14.500,-0.6285, 0.16305, 0.15987, 0.0202,1.0000,0.0245,-1.8590, 0.0000, 0.2679
-14.250,-0.6246, 0.15885, 0.15569, 0.0182,1.0000,0.0245,-1.8913, 0.0000, 0.2651
-14.000,-0.6212, 0.15456, 0.15141, 0.0162,1.0000,0.0245,-1.9273, 0.0000, 0.2622
-13.750,-0.6182, 0.14988, 0.14674, 0.0140,1.0000,0.0245,-1.9676, 0.0000, 0.2591
-13.500,-0.6157, 0.14501, 0.14188, 0.0119,1.0000,0.0246,-2.0129, 0.0000, 0.2559
-13.250,-0.6139, 0.13997, 0.13686, 0.0097,1.0000,0.0246,-2.0641, 0.0000, 0.2524
-13.000,-0.6130, 0.13473, 0.13163, 0.0073,1.0000,0.0246,-2.1225, 0.0000, 0.2488
-12.750,-0.6130, 0.12923, 0.12614, 0.0049,1.0000,0.0246,-2.1901, 0.0000, 0.2450
-12.500,-0.6141, 0.12337, 0.12030, 0.0022,1.0000,0.0246,-2.2702, 0.0000, 0.2408
-12.250,-0.6169, 0.11698, 0.11393,-0.0007,1.0000,0.0246,-2.3691, 0.0000, 0.2362
-12.000,-0.6650, 0.10095, 0.09797,-0.0067,1.0000,0.0169,-3.0320, 0.0000, 0.2273
-11.750,-0.6822, 0.08994, 0.08693,-0.0136,1.0000,0.0174,-3.2991, 0.0000, 0.2174
-11.500,-0.6981, 0.08214, 0.07906,-0.0194,1.0000,0.0183,-3.4235, 0.0000, 0.2098
-11.250,-0.7155, 0.07540, 0.07223,-0.0244,1.0000,0.0189,-3.5247, 0.0000, 0.2038
-11.000,-0.7340, 0.06946, 0.06618,-0.0285,1.0000,0.0193,-3.6143, 0.0000, 0.1995
-10.750,-0.7536, 0.06418, 0.06077,-0.0315,1.0000,0.0194,-3.7009, 0.0000, 0.1970
-10.500,-0.7743, 0.05953, 0.05597,-0.0332,1.0000,0.0192,-3.7885, 0.0000, 0.1964
-10.250,-0.7962, 0.05511, 0.05137,-0.0335,1.0000,0.0186,-3.8937, 0.0000, 0.1976
-10.000,-0.8218, 0.05051, 0.04652,-0.0319,1.0000,0.0173,-4.0647, 0.0000, 0.2013
 -9.500,-0.8365, 0.04200, 0.03720,-0.0252,1.0000,0.0108,-4.4867, 0.0000, 0.2104
 -9.250,-0.8464, 0.03747, 0.03231,-0.0222,1.0000,0.0104,-4.6003, 0.0000, 0.2146
 -9.000,-0.8468, 0.03354, 0.02801,-0.0195,1.0000,0.0100,-4.6462, 0.0000, 0.2181
 -8.750,-0.8402, 0.03007, 0.02419,-0.0172,1.0000,0.0097,-4.6416, 0.0000, 0.2209
 -8.500,-0.8286, 0.02705, 0.02086,-0.0151,1.0000,0.0094,-4.5946, 0.0000, 0.2234
 -8.250,-0.8142, 0.02450, 0.01804,-0.0132,1.0000,0.0092,-4.5103, 0.0000, 0.2256
 -8.000,-0.7991, 0.02239, 0.01572,-0.0112,1.0000,0.0091,-4.3968, 0.0000, 0.2280
 -7.750,-0.7846, 0.02066, 0.01381,-0.0091,1.0000,0.0091,-4.2622, 0.0000, 0.2307
 -7.500,-0.7707, 0.01921, 0.01222,-0.0069,1.0000,0.0093,-4.1105, 0.0000, 0.2337
 -7.250,-0.7567, 0.01799, 0.01087,-0.0046,1.0000,0.0096,-3.9408, 0.0000, 0.2367
 -7.000,-0.7419, 0.01698, 0.00972,-0.0024,1.0000,0.0100,-3.7527, 0.0000, 0.2398
 -6.750,-0.7253, 0.01619, 0.00882,-0.0005,1.0000,0.0106,-3.5505, 0.0000, 0.2426
 -6.500,-0.7075, 0.01557, 0.00796, 0.0011,1.0000,0.0103,-3.4376, 0.0000, 0.2452
 -6.250,-0.6891, 0.01502, 0.00732, 0.0028,1.0000,0.0111,-3.2221, 0.0000, 0.2478
 -6.000,-0.6725, 0.01433, 0.00654, 0.0048,1.0000,0.0156,-3.0886, 0.0000, 0.2512
 -5.750,-0.6569, 0.01379, 0.00608, 0.0068,1.0000,0.0255,-2.9303, 0.0000, 0.2546
 -5.500,-0.6328, 0.01303, 0.00558, 0.0066,0.9965,0.0610,-2.7347, 0.0000, 0.2548
 -5.250,-0.5948, 0.01202, 0.00502, 0.0033,0.9873,0.1297,-2.4905, 0.0000, 0.2502
 -4.750,-0.5229, 0.01044, 0.00413,-0.0016,0.9592,0.2684,-2.0412, 0.0000, 0.2417
 -4.500,-0.4911, 0.00942, 0.00376,-0.0034,0.9420,0.3992,-1.8406, 0.0000, 0.2382
 -4.250,-0.4602, 0.00901, 0.00387,-0.0041,0.9236,0.5214,-1.6450, 0.0000, 0.2363
 -4.000,-0.4317, 0.00908, 0.00408,-0.0039,0.9033,0.5648,-1.4621, 0.0000, 0.2363
 -3.750,-0.4023, 0.00906, 0.00397,-0.0041,0.8847,0.5783,-1.2827, 0.0000, 0.2354
 -3.500,-0.3761, 0.00904, 0.00377,-0.0035,0.8661,0.5916,-1.0754, 0.0000, 0.2364
 -3.250,-0.3495, 0.00912, 0.00377,-0.0030,0.8498,0.6040,-0.9283, 0.0000, 0.2372
 -3.000,-0.3233, 0.00918, 0.00375,-0.0026,0.8355,0.6139,-0.8290, 0.0000, 0.2380
 -2.750,-0.2969, 0.00930, 0.00373,-0.0021,0.8216,0.6202,-0.7580, 0.0000, 0.2388
 -2.500,-0.2701, 0.00918, 0.00357,-0.0019,0.8086,0.6334,-0.7027, 0.0000, 0.2391
 -2.250,-0.2437, 0.00914, 0.00357,-0.0015,0.7978,0.6438,-0.6495, 0.0000, 0.2400
 -2.000,-0.2172, 0.00918, 0.00356,-0.0011,0.7859,0.6532,-0.6038, 0.0000, 0.2412
 -1.750,-0.1905, 0.00924, 0.00353,-0.0008,0.7747,0.6613,-0.5630, 0.0000, 0.2422
 -1.500,-0.1632, 0.00935, 0.00355,-0.0007,0.7646,0.6677,-0.5271, 0.0000, 0.2421
 -1.250,-0.1358, 0.00928, 0.00348,-0.0007,0.7575,0.6749,-0.4946, 0.0000, 0.2415
 -1.000,-0.1087, 0.00916, 0.00340,-0.0006,0.7495,0.6855,-0.4647, 0.0000, 0.2414
 -0.750,-0.0818, 0.00916, 0.00342,-0.0003,0.7414,0.6946,-0.4383, 0.0000, 0.2429
 -0.500,-0.0548, 0.00919, 0.00342,-0.0001,0.7331,0.7027,-0.4152, 0.0000, 0.2451
 -0.250,-0.0275, 0.00930, 0.00346,-0.0000,0.7225,0.7097,-0.3934, 0.0000, 0.2464
  0.000,-0.0000, 0.00933, 0.00343, 0.0000,0.7157,0.7157,-0.3740, 0.0000, 0.4447
  0.250, 0.0275, 0.00930, 0.00346, 0.0000,0.7097,0.7225,-0.3934, 0.0000, 0.2464
  0.500, 0.0548, 0.00919, 0.00342, 0.0001,0.7027,0.7331,-0.4152, 0.0000, 0.2451
  0.750, 0.0818, 0.00916, 0.00342, 0.0003,0.6947,0.7414,-0.4383, 0.0000, 0.2429
  1.000, 0.1087, 0.00916, 0.00340, 0.0006,0.6855,0.7495,-0.4647, 0.0000, 0.2414
  1.250, 0.1358, 0.00928, 0.00348, 0.0007,0.6748,0.7575,-0.4946, 0.0000, 0.2415
  1.500, 0.1632, 0.00935, 0.00355, 0.0007,0.6677,0.7645,-0.5271, 0.0000, 0.2421
  1.750, 0.1905, 0.00924, 0.00353, 0.0008,0.6613,0.7747,-0.5630, 0.0000, 0.2422
  2.000, 0.2172, 0.00918, 0.00356, 0.0011,0.6532,0.7859,-0.6038, 0.0000, 0.2412
  2.250, 0.2437, 0.00914, 0.00357, 0.0015,0.6438,0.7978,-0.6495, 0.0000, 0.2400
  2.500, 0.2701, 0.00918, 0.00357, 0.0019,0.6334,0.8086,-0.7027, 0.0000, 0.2391
  2.750, 0.2969, 0.00930, 0.00373, 0.0021,0.6202,0.8216,-0.7580, 0.0000, 0.2388
  3.000, 0.3233, 0.00918, 0.00375, 0.0026,0.6139,0.8355,-0.8290, 0.0000, 0.2380
  3.250, 0.3495, 0.00912, 0.00377, 0.0030,0.6040,0.8499,-0.9283, 0.0000, 0.2372
  3.500, 0.3761, 0.00904, 0.00377, 0.0035,0.5916,0.8661,-1.0754, 0.0000, 0.2364
  3.750, 0.4023, 0.00906, 0.00397, 0.0041,0.5783,0.8847,-1.2827, 0.0000, 0.2354
  4.000, 0.4317, 0.00908, 0.00408, 0.0039,0.5648,0.9033,-1.4621, 0.0000, 0.2363
  4.250, 0.4602, 0.00901, 0.00387, 0.0041,0.5214,0.9236,-1.6450, 0.0000, 0.2363
  4.500, 0.4911, 0.00942, 0.00376, 0.0034,0.3992,0.9420,-1.8406, 0.0000, 0.2382
  4.750, 0.5229, 0.01044, 0.00412, 0.0016,0.2684,0.9592,-2.0413, 0.0000, 0.2417
  5.000, 0.5581, 0.01123, 0.00456,-0.0006,0.1953,0.9747,-2.2591, 0.0000, 0.2459
