xflr5 v6.50

 Calculated polar for: E423

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.300 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
  0.000, 1.1283, 0.01523, 0.00730,-0.2433,0.6247,0.1652,-1.4271, 0.0000, 0.4635
  0.500, 1.1838, 0.01537, 0.00739,-0.2433,0.6188,0.1853,-1.4729, 0.0000, 0.4525
  1.000, 1.2391, 0.01549, 0.00747,-0.2434,0.6127,0.2059,-1.5198, 0.0000, 0.4425
  1.500, 1.2909, 0.01566, 0.00769,-0.2428,0.6061,0.2268,-1.5650, 0.0000, 0.4332
  2.000, 1.3461, 0.01583, 0.00790,-0.2429,0.6004,0.2502,-1.6141, 0.0000, 0.4247
  2.500, 1.3990, 0.01600, 0.00815,-0.2426,0.5940,0.2783,-1.6627, 0.0000, 0.4168
  3.000, 1.4498, 0.01623, 0.00852,-0.2419,0.5875,0.3164,-1.7109, 0.0000, 0.4093
  3.500, 1.5045, 0.01634, 0.00887,-0.2422,0.5816,0.4075,-1.7636, 0.0000, 0.4025
  4.000, 1.5511, 0.01596, 0.00923,-0.2406,0.5751,1.0000,-1.8123, 0.0000, 0.3957
  4.500, 1.5992, 0.01641, 0.00965,-0.2394,0.5682,1.0000,-1.8644, 0.0000, 0.3894
  5.000, 1.6495, 0.01683, 0.01004,-0.2386,0.5616,1.0000,-1.9232, 0.0000, 0.3834
  5.500, 1.7023, 0.01720, 0.01033,-0.2384,0.5550,1.0000,-1.9911, 0.0000, 0.3779
  6.000, 1.7448, 0.01762, 0.01081,-0.2362,0.5469,1.0000,-2.0561, 0.0000, 0.3722
  6.500, 1.7869, 0.01804, 0.01129,-0.2340,0.5387,1.0000,-2.1268, 0.0000, 0.3668
  7.000, 1.8278, 0.01847, 0.01177,-0.2315,0.5303,1.0000,-2.2039, 0.0000, 0.3615
  7.500, 1.8662, 0.01890, 0.01228,-0.2286,0.5217,1.0000,-2.2858, 0.0000, 0.3564
  8.000, 1.9001, 0.01936, 0.01281,-0.2249,0.5127,1.0000,-2.3704, 0.0000, 0.3512
  8.500, 1.9294, 0.01987, 0.01340,-0.2203,0.5033,1.0000,-2.4578, 0.0000, 0.3460
  9.000, 1.9566, 0.02046, 0.01408,-0.2155,0.4935,1.0000,-2.5495, 0.0000, 0.3409
  9.500, 1.9827, 0.02116, 0.01485,-0.2107,0.4832,1.0000,-2.6479, 0.0000, 0.3360
 10.000, 1.9979, 0.02223, 0.01607,-0.2043,0.4717,1.0000,-2.7379, 0.0000, 0.3309
 10.500, 2.0132, 0.02348, 0.01745,-0.1983,0.4593,1.0000,-2.8341, 0.0000, 0.3260
 11.000, 2.0269, 0.02503, 0.01911,-0.1924,0.4463,1.0000,-2.9362, 0.0000, 0.3213
 11.500, 2.0358, 0.02704, 0.02124,-0.1864,0.4319,1.0000,-3.0364, 0.0000, 0.3168
 12.000, 2.0393, 0.02966, 0.02399,-0.1803,0.4160,1.0000,-3.1342, 0.0000, 0.3124
 12.500, 2.0399, 0.03288, 0.02732,-0.1745,0.3989,1.0000,-3.2343, 0.0000, 0.3084
 13.000, 2.0367, 0.03683, 0.03135,-0.1692,0.3804,1.0000,-3.3307, 0.0000, 0.3046
 13.500, 2.0280, 0.04172, 0.03633,-0.1642,0.3602,1.0000,-3.4188, 0.0000, 0.3012
 14.000, 2.0153, 0.04747, 0.04214,-0.1597,0.3385,1.0000,-3.5015, 0.0000, 0.2982
 14.500, 1.9996, 0.05401, 0.04873,-0.1558,0.3160,1.0000,-3.5815, 0.0000, 0.2955
 15.000, 1.9820, 0.06114, 0.05589,-0.1525,0.2935,1.0000,-3.6590, 0.0000, 0.2931
 15.500, 1.9640, 0.06871, 0.06347,-0.1498,0.2714,1.0000,-3.7362, 0.0000, 0.2911
 16.000, 1.9473, 0.07643, 0.07122,-0.1477,0.2504,1.0000,-3.8177, 0.0000, 0.2893
 16.500, 1.9322, 0.08418, 0.07899,-0.1462,0.2309,1.0000,-3.9050, 0.0000, 0.2877
 17.500, 1.9084, 0.09931, 0.09419,-0.1448,0.1962,1.0000,-4.1065, 0.0000, 0.2850
 18.000, 1.8995, 0.10663, 0.10157,-0.1448,0.1806,1.0000,-4.2234, 0.0000, 0.2839
 18.500, 1.8919, 0.11379, 0.10876,-0.1453,0.1660,1.0000,-4.3562, 0.0000, 0.2830
 19.000, 1.8857, 0.12075, 0.11578,-0.1462,0.1525,1.0000,-4.5237, 0.0000, 0.2823
 19.500, 1.8812, 0.12750, 0.12262,-0.1475,0.1397,1.0000,-4.7002, 0.0000, 0.2816
 20.000, 1.8773, 0.13412, 0.12931,-0.1491,0.1281,1.0000,-4.9456, 0.0000, 0.2811


