xflr5 v6.11

 Calculated polar for: J5012   12%

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.300 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
-20.000,-0.6957, 0.23998, 0.23656, 0.0355,1.0000,0.0236,-1.6030, 0.0000, 0.2792
-19.750,-0.6910, 0.23551, 0.23210, 0.0338,1.0000,0.0238,-1.6276, 0.0000, 0.2773
-19.500,-0.6863, 0.23084, 0.22742, 0.0320,1.0000,0.0239,-1.6581, 0.0000, 0.2753
-19.250,-0.6818, 0.22600, 0.22258, 0.0302,1.0000,0.0240,-1.6981, 0.0000, 0.2733
-19.000,-0.6775, 0.22097, 0.21755, 0.0285,1.0000,0.0240,-1.7547, 0.0000, 0.2712
-18.750,-0.6737, 0.21582, 0.21240, 0.0265,1.0000,0.0242,-1.8431, 0.0000, 0.2688
-18.500,-0.6703, 0.21111, 0.20769, 0.0244,1.0000,0.0244,-1.9361, 0.0000, 0.2660
-17.750,-0.6580, 0.19531, 0.19192, 0.0216,1.0000,0.0292,-1.8450, 0.0000, 0.2635
-17.500,-0.6504, 0.19250, 0.18911, 0.0205,1.0000,0.0306,-1.7615, 0.0000, 0.2626
-17.250,-0.6438, 0.18938, 0.18599, 0.0191,1.0000,0.0323,-1.7007, 0.0000, 0.2611
-17.000,-0.6378, 0.18606, 0.18266, 0.0176,1.0000,0.0340,-1.6554, 0.0000, 0.2593
-16.750,-0.6324, 0.18263, 0.17924, 0.0158,1.0000,0.0362,-1.6227, 0.0000, 0.2571
-16.500,-0.6286, 0.17980, 0.17642, 0.0130,1.0000,0.0403,-1.6311, 0.0000, 0.2530
-16.250,-0.6227, 0.17875, 0.17537, 0.0102,1.0000,0.0423,-1.6143, 0.0000, 0.2491
-16.000,-0.6172, 0.17579, 0.17241, 0.0083,1.0000,0.0427,-1.5891, 0.0000, 0.2465
-15.750,-0.6123, 0.17235, 0.16897, 0.0065,1.0000,0.0428,-1.5878, 0.0000, 0.2439
-15.500,-0.6077, 0.16870, 0.16533, 0.0047,1.0000,0.0429,-1.6061, 0.0000, 0.2413
-15.250,-0.6034, 0.16495, 0.16158, 0.0030,1.0000,0.0430,-1.6271, 0.0000, 0.2387
-15.000,-0.5995, 0.16115, 0.15779, 0.0013,1.0000,0.0430,-1.6503, 0.0000, 0.2361
-14.750,-0.5959, 0.15736, 0.15401,-0.0005,1.0000,0.0431,-1.6760, 0.0000, 0.2335
-14.500,-0.5928, 0.15355, 0.15020,-0.0022,1.0000,0.0431,-1.7045, 0.0000, 0.2308
-14.250,-0.5901, 0.14951, 0.14617,-0.0040,1.0000,0.0431,-1.7363, 0.0000, 0.2280
-14.000,-0.5879, 0.14514, 0.14180,-0.0058,1.0000,0.0431,-1.7719, 0.0000, 0.2251
-13.750,-0.5862, 0.14060, 0.13728,-0.0077,1.0000,0.0432,-1.8120, 0.0000, 0.2220
-13.500,-0.5854, 0.13588, 0.13256,-0.0097,1.0000,0.0432,-1.8574, 0.0000, 0.2189
-13.250,-0.5854, 0.13092, 0.12761,-0.0117,1.0000,0.0432,-1.9094, 0.0000, 0.2156
-13.000,-0.5865, 0.12566, 0.12237,-0.0139,1.0000,0.0432,-1.9699, 0.0000, 0.2122
-12.750,-0.5892, 0.12000, 0.11672,-0.0162,1.0000,0.0432,-2.0422, 0.0000, 0.2085
-12.500,-0.7547, 0.07444, 0.07105,-0.0405,1.0000,0.0309,-3.6739, 0.0000, 0.1818
-12.250,-0.7963, 0.06524, 0.06165,-0.0467,1.0000,0.0306,-3.9092, 0.0000, 0.1774
-12.000,-0.8372, 0.05763, 0.05378,-0.0497,1.0000,0.0298,-4.1362, 0.0000, 0.1774
-11.750,-0.8794, 0.05088, 0.04667,-0.0493,1.0000,0.0285,-4.3921, 0.0000, 0.1812
-11.500,-0.9040, 0.04687, 0.04236,-0.0470,1.0000,0.0276,-4.5094, 0.0000, 0.1858
-11.250,-0.9165, 0.04432, 0.03958,-0.0439,1.0000,0.0270,-4.5352, 0.0000, 0.1902
-11.000,-0.9230, 0.04242, 0.03751,-0.0405,1.0000,0.0265,-4.5170, 0.0000, 0.1946
-10.750,-0.9267, 0.04087, 0.03582,-0.0367,1.0000,0.0261,-4.4770, 0.0000, 0.1992
-10.500,-0.9267, 0.03940, 0.03422,-0.0332,1.0000,0.0258,-4.4204, 0.0000, 0.2033
-10.250,-0.9228, 0.03792, 0.03259,-0.0302,1.0000,0.0255,-4.3506, 0.0000, 0.2067
-10.000,-0.9176, 0.03641, 0.03095,-0.0273,1.0000,0.0252,-4.2774, 0.0000, 0.2100
 -9.750,-0.9114, 0.03484, 0.02924,-0.0243,1.0000,0.0250,-4.2050, 0.0000, 0.2133
 -9.500,-0.9047, 0.03315, 0.02739,-0.0214,1.0000,0.0248,-4.1371, 0.0000, 0.2166
 -9.250,-0.8978, 0.03126, 0.02532,-0.0184,1.0000,0.0246,-4.0786, 0.0000, 0.2201
