xflr5 v6.11

 Calculated polar for: MH 27  11.99%

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.300 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
-20.000,-0.5356, 0.22749, 0.22424,-0.0169,1.0000,0.0165,-1.6292, 0.0000, 0.1931
-19.750,-0.5329, 0.22519, 0.22196,-0.0176,1.0000,0.0166,-1.6460, 0.0000, 0.1921
-19.500,-0.5302, 0.22278, 0.21956,-0.0181,1.0000,0.0167,-1.6582, 0.0000, 0.1913
-19.250,-0.5276, 0.22035, 0.21714,-0.0186,1.0000,0.0167,-1.6692, 0.0000, 0.1907
-19.000,-0.5251, 0.21789, 0.21469,-0.0189,1.0000,0.0168,-1.6784, 0.0000, 0.1902
-18.750,-0.5227, 0.21544, 0.21225,-0.0193,1.0000,0.0168,-1.6871, 0.0000, 0.1898
-18.500,-0.5204, 0.21298, 0.20980,-0.0196,1.0000,0.0168,-1.6950, 0.0000, 0.1894
-18.250,-0.5180, 0.21050, 0.20734,-0.0199,1.0000,0.0169,-1.7019, 0.0000, 0.1891
-18.000,-0.5158, 0.20803, 0.20488,-0.0202,1.0000,0.0169,-1.7084, 0.0000, 0.1888
-17.750,-0.5136, 0.20557, 0.20243,-0.0204,1.0000,0.0169,-1.7144, 0.0000, 0.1885
-17.500,-0.5114, 0.20308, 0.19988,-0.0207,1.0000,0.0169,-1.7216, 0.0000, 0.1883
-17.250,-0.5093, 0.20062, 0.19745,-0.0209,1.0000,0.0170,-1.7267, 0.0000, 0.1881
-17.000,-0.5072, 0.19817, 0.19500,-0.0211,1.0000,0.0170,-1.7313, 0.0000, 0.1878
-16.750,-0.5050, 0.19571, 0.19256,-0.0214,1.0000,0.0170,-1.7356, 0.0000, 0.1875
-16.500,-0.5029, 0.19321, 0.19007,-0.0216,1.0000,0.0170,-1.7397, 0.0000, 0.1872
-16.250,-0.5008, 0.19060, 0.18747,-0.0219,1.0000,0.0170,-1.7438, 0.0000, 0.1869
-16.000,-0.4989, 0.18779, 0.18468,-0.0222,1.0000,0.0171,-1.7483, 0.0000, 0.1866
-15.750,-0.4970, 0.18490, 0.18180,-0.0224,1.0000,0.0171,-1.7529, 0.0000, 0.1862
-15.500,-0.4952, 0.18196, 0.17887,-0.0227,1.0000,0.0171,-1.7578, 0.0000, 0.1859
-15.250,-0.4935, 0.17897, 0.17589,-0.0230,1.0000,0.0171,-1.7629, 0.0000, 0.1855
-15.000,-0.4919, 0.17593, 0.17287,-0.0233,1.0000,0.0171,-1.7684, 0.0000, 0.1852
-14.750,-0.4904, 0.17285, 0.16980,-0.0235,1.0000,0.0171,-1.7744, 0.0000, 0.1848
-14.500,-0.4891, 0.16973, 0.16670,-0.0238,1.0000,0.0171,-1.7810, 0.0000, 0.1845
-14.250,-0.4879, 0.16657, 0.16355,-0.0241,1.0000,0.0171,-1.8002, 0.0000, 0.1842
-14.000,-0.4869, 0.16336, 0.16036,-0.0244,1.0000,0.0172,-1.8258, 0.0000, 0.1839
