xflr5 v6.11

 Calculated polar for: PT40

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.300 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
-20.000,-0.6158, 0.24277, 0.23899, 0.0281,1.0000,0.0372,-1.2575, 0.0000, 0.2758
-19.750,-0.6088, 0.23973, 0.23594, 0.0263,1.0000,0.0373,-1.2663, 0.0000, 0.2737
-19.500,-0.6018, 0.23670, 0.23291, 0.0245,1.0000,0.0373,-1.2757, 0.0000, 0.2715
-19.250,-0.5948, 0.23368, 0.22989, 0.0228,1.0000,0.0374,-1.2858, 0.0000, 0.2693
-19.000,-0.5878, 0.23067, 0.22688, 0.0210,1.0000,0.0374,-1.2966, 0.0000, 0.2670
-18.750,-0.5809, 0.22768, 0.22389, 0.0192,1.0000,0.0374,-1.3084, 0.0000, 0.2647
-18.500,-0.5740, 0.22470, 0.22091, 0.0175,1.0000,0.0375,-1.3213, 0.0000, 0.2623
-18.250,-0.5672, 0.22175, 0.21795, 0.0158,1.0000,0.0375,-1.3356, 0.0000, 0.2598
-18.000,-0.5604, 0.21882, 0.21502, 0.0140,1.0000,0.0375,-1.3516, 0.0000, 0.2573
-17.750,-0.5538, 0.21592, 0.21213, 0.0123,1.0000,0.0376,-1.3699, 0.0000, 0.2547
-17.500,-0.5474, 0.21308, 0.20929, 0.0105,1.0000,0.0376,-1.3911, 0.0000, 0.2520
-17.250,-0.5409, 0.21021, 0.20642, 0.0088,1.0000,0.0377,-1.4135, 0.0000, 0.2493
-17.000,-0.5345, 0.20734, 0.20355, 0.0071,1.0000,0.0377,-1.4392, 0.0000, 0.2465
-16.750,-0.5285, 0.20447, 0.20068, 0.0054,1.0000,0.0378,-1.4721, 0.0000, 0.2436
-16.500,-0.5231, 0.20140, 0.19761, 0.0036,1.0000,0.0378,-1.5172, 0.0000, 0.2405
-16.250,-0.5194, 0.19821, 0.19442, 0.0016,1.0000,0.0379,-1.5905, 0.0000, 0.2369
-16.000,-0.5122, 0.18598, 0.18220, 0.0021,1.0000,0.0397,-1.6530, 0.0000, 0.2375
-15.750,-0.5007, 0.18316, 0.17934, 0.0019,1.0000,0.0404,-1.5844, 0.0000, 0.2376
-15.500,-0.4903, 0.18070, 0.17689, 0.0014,1.0000,0.0413,-1.5264, 0.0000, 0.2369
-15.250,-0.4807, 0.17831, 0.17451, 0.0007,1.0000,0.0423,-1.4794, 0.0000, 0.2357
-15.000,-0.4717, 0.17588, 0.17208,-0.0003,1.0000,0.0435,-1.4417, 0.0000, 0.2340
-14.750,-0.4632, 0.17335, 0.16956,-0.0013,1.0000,0.0448,-1.4111, 0.0000, 0.2320
-14.500,-0.4550, 0.17074, 0.16696,-0.0025,1.0000,0.0461,-1.3853, 0.0000, 0.2296
-14.250,-0.4471, 0.16807, 0.16430,-0.0037,1.0000,0.0475,-1.3628, 0.0000, 0.2271
