xflr5 v6.48

 Calculated polar for: S1210 12%

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.300 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
  0.000, 1.0612, 0.01307, 0.00541,-0.2466,0.5779,0.3585,-1.1920, 0.0000, 0.4805
  0.500, 1.1192, 0.01334, 0.00559,-0.2468,0.5644,0.3698,-1.2402, 0.0000, 0.4680
  1.000, 1.1773, 0.01364, 0.00584,-0.2472,0.5527,0.3846,-1.2907, 0.0000, 0.4566
  1.500, 1.2358, 0.01399, 0.00613,-0.2476,0.5422,0.4030,-1.3523, 0.0000, 0.4463
  2.000, 1.2932, 0.01427, 0.00650,-0.2478,0.5317,0.4266,-1.4235, 0.0000, 0.4369
  2.500, 1.3494, 0.01457, 0.00688,-0.2478,0.5198,0.4586,-1.5060, 0.0000, 0.4281
  3.000, 1.4059, 0.01489, 0.00734,-0.2478,0.5086,0.5013,-1.6192, 0.0000, 0.4200
  3.500, 1.4629, 0.01525, 0.00786,-0.2480,0.4990,0.5610,-1.7473, 0.0000, 0.4125
  4.000, 1.5181, 0.01556, 0.00838,-0.2478,0.4872,0.6410,-1.8842, 0.0000, 0.4054
  4.500, 1.5707, 0.01583, 0.00891,-0.2469,0.4752,0.7577,-2.0210, 0.0000, 0.3986
  5.000, 1.6066, 0.01586, 0.00916,-0.2423,0.4633,1.0000,-2.1382, 0.0000, 0.3914
  5.500, 1.6582, 0.01634, 0.00965,-0.2414,0.4509,1.0000,-2.2806, 0.0000, 0.3853
  6.000, 1.7080, 0.01684, 0.01019,-0.2402,0.4380,1.0000,-2.4295, 0.0000, 0.3795
  6.500, 1.7557, 0.01734, 0.01078,-0.2385,0.4239,1.0000,-2.5782, 0.0000, 0.3739
  7.000, 1.8011, 0.01785, 0.01142,-0.2364,0.4071,1.0000,-2.7259, 0.0000, 0.3684
  7.500, 1.8442, 0.01848, 0.01211,-0.2339,0.3884,1.0000,-2.8722, 0.0000, 0.3631
  8.000, 1.8838, 0.01918, 0.01292,-0.2307,0.3639,1.0000,-3.0191, 0.0000, 0.3578
  8.500, 1.9143, 0.02021, 0.01394,-0.2259,0.3271,1.0000,-3.1576, 0.0000, 0.3524
  9.000, 1.9328, 0.02207, 0.01560,-0.2192,0.2795,1.0000,-3.2766, 0.0000, 0.3469
  9.500, 1.9464, 0.02460, 0.01794,-0.2121,0.2383,1.0000,-3.3861, 0.0000, 0.3416
 10.000, 1.9577, 0.02745, 0.02071,-0.2052,0.2065,1.0000,-3.4975, 0.0000, 0.3364
 10.500, 1.9664, 0.03063, 0.02387,-0.1985,0.1823,1.0000,-3.8149, 0.0000, 0.3315
 11.000, 1.9732, 0.03418, 0.02747,-0.1921,0.1644,1.0000,-4.1330, 0.0000, 0.3270
 11.500, 1.9771, 0.03826, 0.03166,-0.1863,0.1517,1.0000,-4.4432, 0.0000, 0.3228
 12.000, 1.9778, 0.04304, 0.03657,-0.1812,0.1423,1.0000,-4.7422, 0.0000, 0.3191
 12.500, 1.9738, 0.04879, 0.04241,-0.1768,0.1343,1.0000,-5.0207, 0.0000, 0.3159
 13.000, 1.9778, 0.05419, 0.04805,-0.1740,0.1270,1.0000,-5.3469, 0.0000, 0.3131
 13.500, 1.9762, 0.06063, 0.05467,-0.1717,0.1202,1.0000,-5.6465, 0.0000, 0.3109
 14.000, 1.9720, 0.06778, 0.06194,-0.1703,0.1136,1.0000,-5.9355, 0.0000, 0.3091
 14.500, 1.9726, 0.07466, 0.06912,-0.1696,0.1070,1.0000,-6.2558, 0.0000, 0.3075
 15.000, 1.9666, 0.08261, 0.07721,-0.1694,0.1011,1.0000,-6.5380, 0.0000, 0.3063
 15.500, 1.9643, 0.09036, 0.08521,-0.1699,0.0952,1.0000,-6.8436, 0.0000, 0.3054
 16.000, 1.9599, 0.09839, 0.09343,-0.1705,0.0902,1.0000,-7.1387, 0.0000, 0.3046
 16.500, 1.9563, 0.10655, 0.10182,-0.1720,0.0848,1.0000,-7.4583, 0.0000, 0.3041
 17.000, 1.9527, 0.11472, 0.11023,-0.1738,0.0794,1.0000,-7.7755, 0.0000, 0.3038
 17.500, 1.9468, 0.12338, 0.11904,-0.1763,0.0741,1.0000,-8.0701, 0.0000, 0.3040
 18.000, 1.9456, 0.13136, 0.12731,-0.1790,0.0681,1.0000,-8.3949, 0.0000, 0.3040
 18.500, 1.9407, 0.13998, 0.13614,-0.1826,0.0616,1.0000,-8.6813, 0.0000, 0.3046
 19.000, 1.9340, 0.14901, 0.14537,-0.1868,0.0534,1.0000,-8.9385, 0.0000, 0.3057
 19.500, 1.9208, 0.15938, 0.15584,-0.1924,0.0419,1.0000,-9.1114, 0.0000, 0.3078
 20.000, 1.8962, 0.17211, 0.16860,-0.2003,0.0287,1.0000,-9.1347, 0.0000, 0.3118


