xflr5 v6.48

 Calculated polar for: S1223

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.300 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
  0.000, 1.1822, 0.01583, 0.00767,-0.2701,0.4540,0.2536,-1.4996, 0.0000, 0.4761
  0.500, 1.2410, 0.01645, 0.00809,-0.2704,0.4443,0.3059,-1.5637, 0.0000, 0.4646
  1.000, 1.2972, 0.01683, 0.00850,-0.2702,0.4350,0.3443,-1.6285, 0.0000, 0.4542
  1.500, 1.3595, 0.01733, 0.00887,-0.2714,0.4273,0.3703,-1.6981, 0.0000, 0.4446
  2.000, 1.4182, 0.01769, 0.00929,-0.2718,0.4197,0.4036,-1.7652, 0.0000, 0.4358
  2.500, 1.4823, 0.01826, 0.00985,-0.2734,0.4132,0.4561,-1.8395, 0.0000, 0.4278
  3.000, 1.5408, 0.01866, 0.01047,-0.2738,0.4069,0.5370,-1.9102, 0.0000, 0.4202
  3.500, 1.6023, 0.01916, 0.01115,-0.2749,0.4010,0.6680,-1.9847, 0.0000, 0.4132
  4.000, 1.6434, 0.01930, 0.01164,-0.2714,0.3963,1.0000,-2.0438, 0.0000, 0.4059
  4.500, 1.6974, 0.01992, 0.01222,-0.2710,0.3906,1.0000,-2.1156, 0.0000, 0.3995
  5.000, 1.7546, 0.02067, 0.01284,-0.2713,0.3857,1.0000,-2.1964, 0.0000, 0.3935
  5.500, 1.8070, 0.02140, 0.01363,-0.2706,0.3806,1.0000,-2.2774, 0.0000, 0.3877
  6.000, 1.8573, 0.02206, 0.01432,-0.2695,0.3750,1.0000,-2.3689, 0.0000, 0.3821
  6.500, 1.9141, 0.02294, 0.01509,-0.2698,0.3696,1.0000,-2.4746, 0.0000, 0.3771
  7.000, 1.9557, 0.02359, 0.01595,-0.2669,0.3638,1.0000,-2.5697, 0.0000, 0.3716
  7.500, 2.0029, 0.02428, 0.01665,-0.2653,0.3577,1.0000,-2.6902, 0.0000, 0.3666
  8.000, 2.0470, 0.02516, 0.01765,-0.2631,0.3519,1.0000,-2.8409, 0.0000, 0.3617
  8.500, 2.0852, 0.02591, 0.01852,-0.2597,0.3456,1.0000,-2.9998, 0.0000, 0.3566
  9.000, 2.1243, 0.02680, 0.01949,-0.2566,0.3390,1.0000,-3.1646, 0.0000, 0.3518
  9.500, 2.1529, 0.02765, 0.02052,-0.2514,0.3319,1.0000,-3.3180, 0.0000, 0.3468
 10.000, 2.1822, 0.02865, 0.02165,-0.2465,0.3242,1.0000,-3.4775, 0.0000, 0.3419
 10.500, 2.2058, 0.02970, 0.02284,-0.2406,0.3160,1.0000,-3.6290, 0.0000, 0.3370
 11.000, 2.2293, 0.03105, 0.02444,-0.2351,0.3081,1.0000,-3.7865, 0.0000, 0.3322
 11.500, 2.2552, 0.03241, 0.02587,-0.2302,0.3004,1.0000,-3.9527, 0.0000, 0.3277
 12.000, 2.2696, 0.03419, 0.02800,-0.2236,0.2912,1.0000,-4.0962, 0.0000, 0.3230
 12.500, 2.2855, 0.03620, 0.03025,-0.2177,0.2813,1.0000,-4.2465, 0.0000, 0.3185
 13.000, 2.2985, 0.03858, 0.03285,-0.2119,0.2703,1.0000,-4.3954, 0.0000, 0.3142
 13.500, 2.3070, 0.04154, 0.03602,-0.2060,0.2572,1.0000,-4.5345, 0.0000, 0.3101
 14.000, 2.3097, 0.04539, 0.04003,-0.2003,0.2422,1.0000,-4.6600, 0.0000, 0.3063
 14.500, 2.3050, 0.05044, 0.04524,-0.1950,0.2257,1.0000,-4.7671, 0.0000, 0.3028
 15.000, 2.2898, 0.05727, 0.05220,-0.1902,0.2074,1.0000,-4.8500, 0.0000, 0.2999
 15.500, 2.2632, 0.06634, 0.06143,-0.1866,0.1898,1.0000,-4.8986, 0.0000, 0.2979
 16.000, 2.2236, 0.07831, 0.07355,-0.1851,0.1742,1.0000,-4.9048, 0.0000, 0.2972
 16.500, 2.1767, 0.09246, 0.08789,-0.1859,0.1608,1.0000,-4.8801, 0.0000, 0.2978
 17.000, 2.1329, 0.10680, 0.10242,-0.1884,0.1482,1.0000,-4.8527, 0.0000, 0.2992
 17.500, 2.0944, 0.12043, 0.11620,-0.1919,0.1366,1.0000,-4.8332, 0.0000, 0.3010
 18.000, 2.0649, 0.13264, 0.12851,-0.1960,0.1259,1.0000,-4.8324, 0.0000, 0.3028
 18.500, 2.0440, 0.14334, 0.13929,-0.2001,0.1161,1.0000,-4.8669, 0.0000, 0.3043
 19.000, 2.0310, 0.15259, 0.14861,-0.2041,0.1076,1.0000,-5.0288, 0.0000, 0.3053
 19.500, 2.0247, 0.16050, 0.15653,-0.2078,0.1003,1.0000,-5.2633, 0.0000, 0.3059
 20.000, 2.0228, 0.16751, 0.16358,-0.2113,0.0939,1.0000,-5.5325, 0.0000, 0.3061
