xflr5 v6.11

 Calculated polar for: S8052 (11.88%)

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.300 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
-20.000,-0.7096, 0.25217, 0.24895, 0.0562,1.0000,0.0144,-1.6244, 0.0000, 0.3106
-19.750,-0.7028, 0.24831, 0.24509, 0.0541,1.0000,0.0144,-1.6421, 0.0000, 0.3087
-19.500,-0.6959, 0.24442, 0.24121, 0.0520,1.0000,0.0145,-1.6617, 0.0000, 0.3067
-19.250,-0.6891, 0.24051, 0.23729, 0.0500,1.0000,0.0145,-1.6836, 0.0000, 0.3048
-19.000,-0.6822, 0.23657, 0.23336, 0.0479,1.0000,0.0146,-1.7095, 0.0000, 0.3027
-18.750,-0.6754, 0.23261, 0.22940, 0.0459,1.0000,0.0146,-1.7406, 0.0000, 0.3007
-18.500,-0.6687, 0.22863, 0.22543, 0.0438,1.0000,0.0146,-1.7797, 0.0000, 0.2985
-18.250,-0.6622, 0.22463, 0.22143, 0.0417,1.0000,0.0147,-1.8302, 0.0000, 0.2962
-18.000,-0.6580, 0.21570, 0.21252, 0.0414,1.0000,0.0159,-1.8951, 0.0000, 0.2962
-17.750,-0.6488, 0.21273, 0.20955, 0.0404,1.0000,0.0166,-1.7972, 0.0000, 0.2960
-17.500,-0.6404, 0.20979, 0.20658, 0.0390,1.0000,0.0174,-1.7271, 0.0000, 0.2949
-17.250,-0.6324, 0.20682, 0.20362, 0.0375,1.0000,0.0184,-1.6755, 0.0000, 0.2935
-17.000,-0.6246, 0.20374, 0.20054, 0.0357,1.0000,0.0196,-1.6397, 0.0000, 0.2918
-16.750,-0.6170, 0.20058, 0.19738, 0.0339,1.0000,0.0209,-1.6138, 0.0000, 0.2898
-16.500,-0.6095, 0.19740, 0.19420, 0.0319,1.0000,0.0221,-1.5960, 0.0000, 0.2875
-16.250,-0.6022, 0.19430, 0.19111, 0.0297,1.0000,0.0235,-1.5927, 0.0000, 0.2847
-16.000,-0.5971, 0.19235, 0.18917, 0.0262,1.0000,0.0249,-1.6412, 0.0000, 0.2794
-15.750,-0.5920, 0.19006, 0.18689, 0.0233,1.0000,0.0254,-1.6536, 0.0000, 0.2753
-15.500,-0.5856, 0.18696, 0.18379, 0.0212,1.0000,0.0256,-1.6415, 0.0000, 0.2722
-15.250,-0.5792, 0.18347, 0.18031, 0.0191,1.0000,0.0256,-1.6277, 0.0000, 0.2693
-15.000,-0.5729, 0.17976, 0.17661, 0.0172,1.0000,0.0257,-1.6420, 0.0000, 0.2664
-14.750,-0.5666, 0.17593, 0.17278, 0.0153,1.0000,0.0257,-1.6590, 0.0000, 0.2636
-14.500,-0.5605, 0.17203, 0.16889, 0.0134,1.0000,0.0258,-1.6770, 0.0000, 0.2607
-14.250,-0.5545, 0.16808, 0.16495, 0.0115,1.0000,0.0258,-1.6963, 0.0000, 0.2577
-14.000,-0.5487, 0.16407, 0.16095, 0.0096,1.0000,0.0258,-1.7171, 0.0000, 0.2547
