xflr5 v6.11

 Calculated polar for: S8055 (12%)

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.300 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
-19.500,-0.6401, 0.23416, 0.23092, 0.0370,1.0000,0.0160,-1.4178, 0.0000, 0.2887
-19.250,-0.6324, 0.23067, 0.22743, 0.0351,1.0000,0.0162,-1.4116, 0.0000, 0.2867
-19.000,-0.6247, 0.22721, 0.22398, 0.0333,1.0000,0.0165,-1.4062, 0.0000, 0.2846
-18.750,-0.6169, 0.22379, 0.22053, 0.0314,1.0000,0.0168,-1.4014, 0.0000, 0.2825
-18.500,-0.6091, 0.22039, 0.21713, 0.0295,1.0000,0.0171,-1.3979, 0.0000, 0.2804
-18.250,-0.6014, 0.21703, 0.21376, 0.0276,1.0000,0.0175,-1.3953, 0.0000, 0.2781
-18.000,-0.5936, 0.21369, 0.21043, 0.0258,1.0000,0.0178,-1.3936, 0.0000, 0.2758
-17.750,-0.5858, 0.21040, 0.20713, 0.0239,1.0000,0.0182,-1.3929, 0.0000, 0.2735
-17.500,-0.5780, 0.20714, 0.20388, 0.0220,1.0000,0.0186,-1.3935, 0.0000, 0.2710
-17.250,-0.5702, 0.20393, 0.20067, 0.0201,1.0000,0.0190,-1.3955, 0.0000, 0.2685
-17.000,-0.5624, 0.20076, 0.19751, 0.0183,1.0000,0.0195,-1.3993, 0.0000, 0.2659
-16.750,-0.5546, 0.19765, 0.19440, 0.0164,1.0000,0.0200,-1.4057, 0.0000, 0.2631
-16.500,-0.5469, 0.19460, 0.19135, 0.0144,1.0000,0.0205,-1.4161, 0.0000, 0.2602
-16.250,-0.5393, 0.19158, 0.18834, 0.0124,1.0000,0.0211,-1.4335, 0.0000, 0.2570
-16.000,-0.5321, 0.18854, 0.18531, 0.0101,1.0000,0.0218,-1.4619, 0.0000, 0.2532
-15.750,-0.5259, 0.18568, 0.18245, 0.0076,1.0000,0.0223,-1.4991, 0.0000, 0.2489
-15.500,-0.5207, 0.18287, 0.17965, 0.0051,1.0000,0.0226,-1.5359, 0.0000, 0.2445
-15.250,-0.5145, 0.17980, 0.17659, 0.0029,1.0000,0.0227,-1.5573, 0.0000, 0.2406
-15.000,-0.5078, 0.17651, 0.17331, 0.0010,1.0000,0.0229,-1.5705, 0.0000, 0.2371
-14.750,-0.5011, 0.17307, 0.16987,-0.0009,1.0000,0.0230,-1.5842, 0.0000, 0.2335
-14.500,-0.4946, 0.16951, 0.16632,-0.0028,1.0000,0.0230,-1.5988, 0.0000, 0.2298
-14.250,-0.4882, 0.16586, 0.16267,-0.0047,1.0000,0.0231,-1.6144, 0.0000, 0.2261
-14.000,-0.4819, 0.16213, 0.15895,-0.0065,1.0000,0.0231,-1.6313, 0.0000, 0.2223
-13.750,-0.4759, 0.15833, 0.15517,-0.0084,1.0000,0.0232,-1.6495, 0.0000, 0.2184
-13.500,-0.4700, 0.15449, 0.15133,-0.0102,1.0000,0.0232,-1.6691, 0.0000, 0.2144
-13.250,-0.4644, 0.15060, 0.14745,-0.0121,1.0000,0.0232,-1.6903, 0.0000, 0.2103
-13.000,-0.4591, 0.14667, 0.14353,-0.0139,1.0000,0.0232,-1.7132, 0.0000, 0.2062
-12.750,-0.4664, 0.13856, 0.13547,-0.0161,1.0000,0.0241,-1.8886, 0.0000, 0.2022
-12.500,-0.4618, 0.13467, 0.13155,-0.0169,1.0000,0.0247,-1.8631, 0.0000, 0.2002
-12.250,-0.4550, 0.13143, 0.12832,-0.0177,1.0000,0.0252,-1.8141, 0.0000, 0.1981
-12.000,-0.4481, 0.12822, 0.12513,-0.0187,1.0000,0.0257,-1.7688, 0.0000, 0.1956
-11.750,-0.4417, 0.12494, 0.12185,-0.0198,1.0000,0.0262,-1.7352, 0.0000, 0.1926
-11.500,-0.4361, 0.12153, 0.11846,-0.0211,1.0000,0.0268,-1.7139, 0.0000, 0.1892
-11.250,-0.4312, 0.11798, 0.11493,-0.0226,1.0000,0.0274,-1.7040, 0.0000, 0.1854
-11.000,-0.4270, 0.11431, 0.11128,-0.0243,1.0000,0.0281,-1.7037, 0.0000, 0.1811
-10.750,-0.4236, 0.11051, 0.10750,-0.0261,1.0000,0.0289,-1.7123, 0.0000, 0.1766
-10.500,-0.4209, 0.10659, 0.10361,-0.0281,1.0000,0.0296,-1.7299, 0.0000, 0.1718
-10.250,-0.4192, 0.10255, 0.09959,-0.0302,1.0000,0.0305,-1.7570, 0.0000, 0.1667
-10.000,-0.4180, 0.09829, 0.09536,-0.0327,1.0000,0.0314,-1.7940, 0.0000, 0.1609
 -9.750,-0.4177, 0.09374, 0.09084,-0.0355,1.0000,0.0324,-1.8453, 0.0000, 0.1542
 -9.500,-0.4183, 0.08887, 0.08601,-0.0390,1.0000,0.0334,-1.9142, 0.0000, 0.1463
 -9.250,-0.4204, 0.08339, 0.08057,-0.0437,1.0000,0.0346,-2.0168, 0.0000, 0.1358
 -9.000,-0.4216, 0.07700, 0.07423,-0.0509,1.0000,0.0358,-2.1475, 0.0000, 0.1192
 -8.750,-0.4449, 0.07221, 0.06947,-0.0536,0.9988,0.0355,-2.2709, 0.0000, 0.1203
 -8.500,-0.4433, 0.06594, 0.06296,-0.0644,0.9872,0.0363,-2.3884, 0.0000, 0.0957
 -8.250,-0.4389, 0.06143, 0.05820,-0.0696,0.9786,0.0366,-2.4376, 0.0000, 0.0826
 -8.000,-0.4314, 0.05731, 0.05381,-0.0728,0.9716,0.0367,-2.4596, 0.0000, 0.0726
 -7.750,-0.4529, 0.04654, 0.04266,-0.0752,0.9614,0.0385,-2.7082, 0.0000, 0.0756
 -7.500,-0.4381, 0.04306, 0.03911,-0.0759,0.9558,0.0400,-2.6126, 0.0000, 0.0683
 -7.250,-0.4222, 0.04076, 0.03673,-0.0759,0.9503,0.0413,-2.5018, 0.0000, 0.0620
 -7.000,-0.4088, 0.03860, 0.03443,-0.0751,0.9439,0.0428,-2.4163, 0.0000, 0.0581
 -6.750,-0.3936, 0.03632, 0.03195,-0.0743,0.9386,0.0448,-2.3467, 0.0000, 0.0531
 -6.500,-0.3773, 0.03410, 0.02947,-0.0732,0.9338,0.0469,-2.2902, 0.0000, 0.0478
 -6.250,-0.3619, 0.03200, 0.02711,-0.0716,0.9276,0.0484,-2.2444, 0.0000, 0.0438
 -5.750,-0.3263, 0.01971, 0.01306,-0.0648,0.9175,0.0170,-2.9496, 0.0000, 0.0423
 -5.500,-0.3028, 0.01809, 0.01121,-0.0636,0.9139,0.0161,-2.8922, 0.0000, 0.0308
 -5.250,-0.2803, 0.01697, 0.00995,-0.0624,0.9098,0.0157,-2.7977, 0.0000, 0.0183
 -5.000,-0.2586, 0.01606, 0.00895,-0.0612,0.9048,0.0156,-2.6845, 0.0000, 0.0041
 -4.750,-0.2368, 0.01527, 0.00804,-0.0600,0.9002,0.0160,-2.5739, 0.0000,-0.0129
 -4.500,-0.2140, 0.01464, 0.00731,-0.0589,0.8959,0.0168,-2.4422, 0.0000,-0.0351
 -4.250,-0.1904, 0.01411, 0.00667,-0.0578,0.8917,0.0185,-2.3107, 0.0000,-0.0642
 -4.000,-0.1663, 0.01371, 0.00614,-0.0568,0.8877,0.0230,-2.1954, 0.0000,-0.1025
 -3.750,-0.1473, 0.01265, 0.00560,-0.0555,0.8831,0.1171,-2.1182, 0.0000,-0.1382
 -3.500,-0.1254, 0.01211, 0.00542,-0.0547,0.8780,0.1927,-1.9274, 0.0000,-0.1989
 -3.250,-0.1041, 0.01154, 0.00526,-0.0538,0.8726,0.2856,-1.7354, 0.0000,-0.2807
 -3.000,-0.0824, 0.01100, 0.00509,-0.0527,0.8679,0.3848,-1.5447, 0.0000,-0.4055
 -2.750,-0.0653, 0.01020, 0.00501,-0.0507,0.8636,0.5515,-1.3735, 0.0000,-0.5436
 -2.500,-0.0473, 0.00992, 0.00529,-0.0481,0.8590,0.6960,-1.2009, 0.0000,-0.7905
 -2.250,-0.0246, 0.00992, 0.00544,-0.0466,0.8539,0.7519,-1.0531, 0.0000,-1.6854
 -2.000, 0.0000, 0.00996, 0.00545,-0.0456,0.8488,0.7789,-0.9360, 0.0000,1300.2990
 -1.750, 0.0250, 0.00998, 0.00546,-0.0445,0.8437,0.8009,-0.8096, 0.0000, 2.0572
 -1.500, 0.0504, 0.00998, 0.00544,-0.0434,0.8389,0.8198,-0.6867, 0.0000, 1.1234
 -1.250, 0.0762, 0.00996, 0.00538,-0.0423,0.8343,0.8351,-0.5672, 0.0000, 0.8116
 -1.000, 0.1008, 0.01006, 0.00546,-0.0412,0.8291,0.8505,-0.4552, 0.0000, 0.6618
 -0.750, 0.1252, 0.01002, 0.00543,-0.0402,0.8226,0.8633,-0.4477, 0.0000, 0.5725
 -0.500, 0.1499, 0.00999, 0.00540,-0.0390,0.8161,0.8758,-0.4707, 0.0000, 0.5110
 -0.250, 0.1751, 0.00991, 0.00529,-0.0380,0.8102,0.8883,-0.4970, 0.0000, 0.4666
  0.000, 0.2018, 0.00982, 0.00516,-0.0370,0.8046,0.8986,-0.5249, 0.0000, 0.4326
  0.250, 0.2259, 0.00982, 0.00512,-0.0358,0.7979,0.9104,-0.5551, 0.0000, 0.4073
  0.500, 0.2533, 0.00972, 0.00506,-0.0353,0.7900,0.9198,-0.5906, 0.0000, 0.3876
  0.750, 0.2801, 0.00961, 0.00492,-0.0346,0.7820,0.9303,-0.6261, 0.0000, 0.3715
  1.000, 0.3116, 0.00947, 0.00473,-0.0348,0.7748,0.9383,-0.6656, 0.0000, 0.3593
  1.250, 0.3451, 0.00944, 0.00463,-0.0355,0.7671,0.9460,-0.7069, 0.0000, 0.3502
  1.500, 0.3756, 0.00935, 0.00457,-0.0359,0.7578,0.9544,-0.7460, 0.0000, 0.3427
  1.750, 0.4147, 0.00924, 0.00443,-0.0380,0.7475,0.9593,-0.7977, 0.0000, 0.3384
  2.000, 0.4520, 0.00911, 0.00421,-0.0395,0.7367,0.9651,-0.8490, 0.0000, 0.3341
  2.250, 0.4883, 0.00904, 0.00418,-0.0413,0.7241,0.9707,-0.8996, 0.0000, 0.3311
  2.500, 0.5284, 0.00895, 0.00406,-0.0438,0.7108,0.9744,-0.9542, 0.0000, 0.3291
  2.750, 0.5649, 0.00889, 0.00399,-0.0456,0.6974,0.9796,-1.0102, 0.0000, 0.3267
  3.000, 0.6013, 0.00883, 0.00390,-0.0474,0.6785,0.9843,-1.0787, 0.0000, 0.3247
  3.250, 0.6377, 0.00880, 0.00380,-0.0493,0.6566,0.9886,-1.1484, 0.0000, 0.3229
  3.500, 0.6724, 0.00885, 0.00371,-0.0508,0.6312,0.9931,-1.2170, 0.0000, 0.3209
  3.750, 0.7084, 0.00892, 0.00371,-0.0527,0.6030,0.9974,-1.2883, 0.0000, 0.3196
  4.000, 0.7381, 0.00906, 0.00374,-0.0535,0.5726,1.0000,-1.3630, 0.0000, 0.3173
  4.250, 0.7554, 0.00927, 0.00380,-0.0517,0.5402,1.0000,-1.4218, 0.0000, 0.3131
  4.500, 0.7705, 0.00955, 0.00391,-0.0496,0.5033,1.0000,-1.4888, 0.0000, 0.3087
  4.750, 0.7843, 0.00988, 0.00406,-0.0472,0.4662,1.0000,-1.5550, 0.0000, 0.3043
  5.000, 0.7980, 0.01025, 0.00425,-0.0448,0.4299,1.0000,-1.6217, 0.0000, 0.3000
  5.250, 0.8128, 0.01065, 0.00448,-0.0426,0.3952,1.0000,-1.6938, 0.0000, 0.2960
  5.500, 0.8283, 0.01110, 0.00488,-0.0405,0.3612,1.0000,-1.7712, 0.0000, 0.2923
  5.750, 0.8450, 0.01157, 0.00519,-0.0387,0.3294,1.0000,-1.8580, 0.0000, 0.2889
  6.000, 0.8624, 0.01207, 0.00553,-0.0370,0.2991,1.0000,-1.9484, 0.0000, 0.2858
  6.500, 0.9006, 0.01302, 0.00624,-0.0344,0.2509,1.0000,-2.1413, 0.0000, 0.2805
