xflr5 v6.11

 Calculated polar for: SPICA  11.73% smoothed

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.300 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
-20.000,-0.4534, 0.23373, 0.23004, 0.0009,1.0000,0.0101,-1.4090, 0.0000, 0.2312
-19.750,-0.4477, 0.23106, 0.22738,-0.0006,1.0000,0.0101,-1.4320, 0.0000, 0.2280
-19.500,-0.4421, 0.22840, 0.22473,-0.0021,1.0000,0.0101,-1.4575, 0.0000, 0.2248
-19.250,-0.4366, 0.22569, 0.22203,-0.0036,1.0000,0.0102,-1.4844, 0.0000, 0.2215
-18.500,-0.4115, 0.21056, 0.20699,-0.0044,1.0000,0.0121,-1.2625, 0.0000, 0.2189
-18.250,-0.4040, 0.20807, 0.20451,-0.0055,1.0000,0.0130,-1.2116, 0.0000, 0.2163
-18.000,-0.3965, 0.20547, 0.20193,-0.0066,1.0000,0.0142,-1.1737, 0.0000, 0.2134
-17.750,-0.3888, 0.20284, 0.19926,-0.0078,1.0000,0.0160,-1.1507, 0.0000, 0.2101
-17.500,-0.3796, 0.20120, 0.19763,-0.0094,1.0000,0.0182,-1.1474, 0.0000, 0.2055
-17.250,-0.3720, 0.19997, 0.19641,-0.0109,1.0000,0.0189,-1.1484, 0.0000, 0.2009
-17.000,-0.3654, 0.19807, 0.19453,-0.0123,1.0000,0.0192,-1.1493, 0.0000, 0.1968
-16.750,-0.3593, 0.19586, 0.19233,-0.0136,1.0000,0.0194,-1.1517, 0.0000, 0.1928
-16.500,-0.3535, 0.19349, 0.18998,-0.0148,1.0000,0.0196,-1.1557, 0.0000, 0.1888
-16.250,-0.3476, 0.19096, 0.18746,-0.0160,1.0000,0.0196,-1.1593, 0.0000, 0.1848
-16.000,-0.3417, 0.18828, 0.18479,-0.0171,1.0000,0.0197,-1.1625, 0.0000, 0.1808
-15.750,-0.3360, 0.18553, 0.18205,-0.0182,1.0000,0.0198,-1.1672, 0.0000, 0.1766
-15.500,-0.3304, 0.18273, 0.17927,-0.0194,1.0000,0.0199,-1.1731, 0.0000, 0.1724
-15.250,-0.3247, 0.17969, 0.17625,-0.0204,1.0000,0.0199,-1.1793, 0.0000, 0.1681
-15.000,-0.3186, 0.17620, 0.17278,-0.0214,1.0000,0.0199,-1.1853, 0.0000, 0.1639
-14.750,-0.3126, 0.17271, 0.16930,-0.0224,1.0000,0.0199,-1.1919, 0.0000, 0.1595
-14.500,-0.3068, 0.16920, 0.16582,-0.0233,1.0000,0.0199,-1.1990, 0.0000, 0.1551
-14.250,-0.3010, 0.16569, 0.16232,-0.0242,1.0000,0.0199,-1.2068, 0.0000, 0.1506
-14.000,-0.2954, 0.16218, 0.15883,-0.0251,1.0000,0.0199,-1.2154, 0.0000, 0.1460
-13.750,-0.2900, 0.15867, 0.15534,-0.0260,1.0000,0.0199,-1.2248, 0.0000, 0.1413
-13.500,-0.2847, 0.15515, 0.15185,-0.0269,1.0000,0.0198,-1.2352, 0.0000, 0.1366
-13.250,-0.2796, 0.15162, 0.14834,-0.0278,1.0000,0.0198,-1.2466, 0.0000, 0.1319
-13.000,-0.2747, 0.14807, 0.14482,-0.0286,1.0000,0.0198,-1.2594, 0.0000, 0.1271
-12.750,-0.2701, 0.14445, 0.14123,-0.0295,1.0000,0.0198,-1.2738, 0.0000, 0.1222
-12.500,-0.2658, 0.14075, 0.13755,-0.0303,1.0000,0.0199,-1.2906, 0.0000, 0.1173
-12.250,-0.2623, 0.13691, 0.13375,-0.0312,1.0000,0.0199,-1.3116, 0.0000, 0.1124
-11.500,-0.1982, 0.04006, 0.03771, 0.0240,0.7155,0.0267,-0.4924, 0.0000, 0.3863
-11.250,-0.1919, 0.03861, 0.03624, 0.0230,0.7104,0.0375,-0.4863, 0.0000, 0.3858
-11.000,-0.1950, 0.03842, 0.03603, 0.0205,0.7056,0.0395,-0.5740, 0.0000, 0.3706
-10.750,-0.1872, 0.03595, 0.03356, 0.0190,0.6991,0.0397,-0.5475, 0.0000, 0.3679
-10.500,-0.1776, 0.03311, 0.03074, 0.0176,0.6959,0.0398,-0.5033, 0.0000, 0.3668
-10.250,-0.1679, 0.03037, 0.02802, 0.0163,0.6913,0.0399,-0.4558, 0.0000, 0.3662
-10.000,-0.1587, 0.02783, 0.02549, 0.0152,0.6858,0.0399,-0.4395, 0.0000, 0.3660
 -9.750,-0.2397, 0.11045, 0.10751,-0.0375,0.9992,0.0398,-1.2881, 0.0000, 0.0789
 -9.500,-0.2220, 0.10673, 0.10378,-0.0420,0.9971,0.0399,-1.2926, 0.0000, 0.0452
 -9.250,-0.2040, 0.10309, 0.10014,-0.0469,0.9943,0.0400,-1.3000, 0.0000, 0.0038
 -9.000,-0.1853, 0.09929, 0.09634,-0.0521,0.9904,0.0400,-1.3080, 0.0000,-0.0481
 -8.750,-0.1661, 0.09536, 0.09240,-0.0573,0.9849,0.0400,-1.3151, 0.0000,-0.1134
 -8.500,-0.1467, 0.09140, 0.08844,-0.0626,0.9762,0.0401,-1.3230, 0.0000,-0.1973
 -8.250,-0.1363, 0.08812, 0.08518,-0.0659,0.9469,0.0401,-1.3378, 0.0000,-0.2543
 -8.000,-0.1269, 0.08467, 0.08173,-0.0693,0.9307,0.0401,-1.3577, 0.0000,-0.3170
 -7.750,-0.1088, 0.08029, 0.07732,-0.0763,0.9169,0.0401,-1.3820, 0.0000,-0.4750
 -7.500,-0.0824, 0.07527, 0.07219,-0.0854,0.9055,0.0401,-1.4067, 0.0000,-0.8174
 -7.250,-0.0484, 0.07001, 0.06680,-0.0952,0.8930,0.0402,-1.4241, 0.0000,-1.7667
 -6.750,-0.0198, 0.00396, 0.00180, 0.0042,0.6183,0.0469,-0.2230, 0.0000, 0.6412
 -6.500,-0.0124, 0.00334, 0.00117, 0.0040,0.6136,0.0480,-0.2082, 0.0000, 0.8580
 -6.250,-0.0049, 0.00277, 0.00060, 0.0036,0.6088,0.0493,-0.1954, 0.0000, 1.7232
 -6.000, 0.0074, 0.00219, 0.00004, 0.0016,0.5997,0.0509,-0.1798, 0.0000,-0.4437
 -5.750, 0.0223, 0.00156,-0.00054,-0.0006,0.5965,0.0529,-0.1610, 0.0000, 0.1192
 -5.500, 0.0379, 0.00105,-0.00100,-0.0035,0.5913,0.0554,-0.1482, 0.0000, 0.2494
 -5.250, 0.0498, 0.00070,-0.00132,-0.0073,0.5852,0.0582,-0.1636, 0.0000, 0.3264
 -5.000, 0.0587, 0.00047,-0.00152,-0.0109,0.5791,0.0594,-0.1851, 0.0000, 0.3766
