xflr5 v6.11

 Calculated polar for: ULTIMATE

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.300 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
-20.000,-0.7912, 0.25075, 0.24783, 0.0724,1.0000,0.0204,-1.8597, 0.0000, 0.3186
-19.750,-0.7861, 0.24696, 0.24405, 0.0682,1.0000,0.0235,-1.9859, 0.0000, 0.3141
-19.500,-0.7814, 0.24333, 0.24038, 0.0653,1.0000,0.0239,-2.0303, 0.0000, 0.3113
-19.250,-0.7758, 0.23923, 0.23628, 0.0630,1.0000,0.0240,-2.0479, 0.0000, 0.3094
-19.000,-0.7703, 0.23499, 0.23203, 0.0609,1.0000,0.0241,-2.0566, 0.0000, 0.3075
-18.750,-0.7647, 0.23068, 0.22772, 0.0588,1.0000,0.0242,-2.0599, 0.0000, 0.3057
-18.250,-0.7538, 0.22219, 0.21922, 0.0544,1.0000,0.0243,-2.0637, 0.0000, 0.3017
-18.000,-0.7484, 0.21787, 0.21490, 0.0523,1.0000,0.0243,-2.0643, 0.0000, 0.2997
-17.750,-0.7536, 0.20822, 0.20529, 0.0500,1.0000,0.0254,-2.2160, 0.0000, 0.2963
-17.500,-0.7464, 0.20456, 0.20162, 0.0491,1.0000,0.0259,-2.1360, 0.0000, 0.2961
-17.250,-0.7390, 0.20117, 0.19822, 0.0480,1.0000,0.0263,-2.0616, 0.0000, 0.2957
-17.000,-0.7314, 0.19787, 0.19491, 0.0468,1.0000,0.0268,-1.9903, 0.0000, 0.2951
-16.750,-0.7244, 0.19455, 0.19159, 0.0454,1.0000,0.0273,-1.9301, 0.0000, 0.2942
-16.500,-0.7179, 0.19120, 0.18823, 0.0439,1.0000,0.0278,-1.8795, 0.0000, 0.2930
-16.250,-0.7118, 0.18779, 0.18482, 0.0423,1.0000,0.0284,-1.8376, 0.0000, 0.2916
-16.000,-0.7061, 0.18433, 0.18136, 0.0405,1.0000,0.0291,-1.8039, 0.0000, 0.2899
-15.750,-0.7009, 0.18081, 0.17785, 0.0386,1.0000,0.0298,-1.8009, 0.0000, 0.2880
-15.500,-0.6962, 0.17725, 0.17429, 0.0366,1.0000,0.0307,-1.8100, 0.0000, 0.2858
-15.250,-0.6922, 0.17360, 0.17065, 0.0346,1.0000,0.0316,-1.8280, 0.0000, 0.2834
-15.000,-0.6888, 0.16976, 0.16681, 0.0323,1.0000,0.0326,-1.8569, 0.0000, 0.2807
-14.750,-0.6863, 0.16537, 0.16243, 0.0298,1.0000,0.0338,-1.9000, 0.0000, 0.2775
-14.500,-0.6847, 0.16045, 0.15752, 0.0269,1.0000,0.0353,-1.9659, 0.0000, 0.2736
-14.250,-0.6800, 0.15595, 0.15302, 0.0228,1.0000,0.0375,-2.0386, 0.0000, 0.2680
-14.000,-0.6781, 0.15104, 0.14813, 0.0200,1.0000,0.0378,-2.0942, 0.0000, 0.2642
-13.750,-0.6778, 0.14567, 0.14276, 0.0172,1.0000,0.0379,-2.1608, 0.0000, 0.2603
-13.500,-0.6789, 0.13984, 0.13695, 0.0143,1.0000,0.0379,-2.2404, 0.0000, 0.2562
-13.250,-0.6820, 0.13338, 0.13050, 0.0111,1.0000,0.0380,-2.3393, 0.0000, 0.2515
-13.000,-0.6886, 0.12563, 0.12276, 0.0071,1.0000,0.0380,-2.4792, 0.0000, 0.2456
-12.750,-0.7024, 0.11592, 0.11303, 0.0013,1.0000,0.0380,-2.6792, 0.0000, 0.2373
-12.500,-0.7225, 0.10612, 0.10318,-0.0055,1.0000,0.0381,-2.8761, 0.0000, 0.2280
-12.250,-0.7462, 0.09736, 0.09435,-0.0122,1.0000,0.0381,-3.0429, 0.0000, 0.2197
-12.000,-0.7703, 0.08991, 0.08679,-0.0178,1.0000,0.0381,-3.1747, 0.0000, 0.2134
-11.750,-0.7936, 0.08359, 0.08034,-0.0221,1.0000,0.0381,-3.2774, 0.0000, 0.2092
-11.500,-0.8163, 0.07827, 0.07489,-0.0248,1.0000,0.0381,-3.3587, 0.0000, 0.2071
-11.250,-0.8383, 0.07383, 0.07031,-0.0260,1.0000,0.0381,-3.4238, 0.0000, 0.2071
-11.000,-0.8588, 0.06990, 0.06624,-0.0258,1.0000,0.0381,-3.4760, 0.0000, 0.2085
-10.750,-0.8781, 0.06645, 0.06263,-0.0240,1.0000,0.0380,-3.5183, 0.0000, 0.2115
-10.500,-1.0014, 0.04108, 0.03589,-0.0137,1.0000,0.0195,-4.9315, 0.0000, 0.2253
-10.250,-1.0028, 0.03778, 0.03225,-0.0105,1.0000,0.0192,-4.9615, 0.0000, 0.2288
-10.000,-0.9977, 0.03470, 0.02885,-0.0078,1.0000,0.0190,-4.9627, 0.0000, 0.2316
 -9.750,-0.9875, 0.03197, 0.02584,-0.0057,1.0000,0.0191,-4.9325, 0.0000, 0.2340
 -9.500,-0.9738, 0.02963, 0.02325,-0.0039,1.0000,0.0196,-4.8758, 0.0000, 0.2361
 -9.250,-0.9578, 0.02766, 0.02108,-0.0023,1.0000,0.0205,-4.7992, 0.0000, 0.2379
 -9.000,-0.9401, 0.02620, 0.01946,-0.0008,1.0000,0.0220,-4.6966, 0.0000, 0.2397
 -8.750,-0.9204, 0.02562, 0.01876, 0.0003,1.0000,0.0237,-4.5320, 0.0000, 0.2412
 -8.500,-0.9031, 0.02379, 0.01676, 0.0017,1.0000,0.0255,-4.4179, 0.0000, 0.2430
 -8.250,-0.8884, 0.02182, 0.01469, 0.0035,1.0000,0.0275,-4.2973, 0.0000, 0.2453
 -8.000,-0.8705, 0.02085, 0.01367, 0.0049,1.0000,0.0290,-4.1147, 0.0000, 0.2473
 -7.750,-0.8522, 0.02000, 0.01277, 0.0064,1.0000,0.0302,-3.9284, 0.0000, 0.2493
 -7.500,-0.8344, 0.01918, 0.01188, 0.0080,1.0000,0.0313,-3.7469, 0.0000, 0.2517
 -7.250,-0.8179, 0.01838, 0.01093, 0.0099,1.0000,0.0321,-3.5701, 0.0000, 0.2545
 -7.000,-0.8024, 0.01771, 0.01021, 0.0121,1.0000,0.0336,-3.4054, 0.0000, 0.2577
 -6.750,-0.7877, 0.01724, 0.00970, 0.0144,1.0000,0.0358,-3.2373, 0.0000, 0.2612
 -6.500,-0.7733, 0.01691, 0.00933, 0.0169,1.0000,0.0377,-3.0705, 0.0000, 0.2649
 -6.250,-0.7696, 0.01595, 0.00827, 0.0214,1.0000,0.0425,-2.9869, 0.0000, 0.2712
 -6.000,-0.7613, 0.01529, 0.00762, 0.0250,1.0000,0.0503,-2.8692, 0.0000, 0.2764
 -5.750,-0.7515, 0.01464, 0.00697, 0.0284,1.0000,0.0642,-2.7499, 0.0000, 0.2816
 -5.500,-0.7431, 0.01342, 0.00626, 0.0315,0.9994,0.1408,-2.6298, 0.0000, 0.2864
 -5.250,-0.7143, 0.01220, 0.00570, 0.0303,0.9953,0.2605,-2.4635, 0.0000, 0.2866
 -5.000,-0.6786, 0.01163, 0.00545, 0.0281,0.9914,0.3346,-2.2869, 0.0000, 0.2858
 -4.750,-0.6435, 0.01129, 0.00525, 0.0262,0.9868,0.3814,-2.1115, 0.0000, 0.2853
 -4.500,-0.6072, 0.01100, 0.00507, 0.0241,0.9829,0.4198,-1.9323, 0.0000, 0.2845
 -4.250,-0.5682, 0.01072, 0.00479, 0.0215,0.9803,0.4497,-1.7411, 0.0000, 0.2827
 -4.000,-0.5365, 0.01042, 0.00463, 0.0205,0.9739,0.4858,-1.5871, 0.0000, 0.2833
 -3.750,-0.5018, 0.01013, 0.00450, 0.0190,0.9691,0.5277,-1.4295, 0.0000, 0.2830
 -3.500,-0.4724, 0.00989, 0.00440, 0.0186,0.9627,0.5590,-1.2894, 0.0000, 0.2848
 -3.250,-0.4432, 0.00969, 0.00429, 0.0184,0.9555,0.5865,-1.1536, 0.0000, 0.2870
 -3.000,-0.4131, 0.00953, 0.00419, 0.0181,0.9498,0.6152,-1.0199, 0.0000, 0.2894
 -2.750,-0.3899, 0.00938, 0.00411, 0.0192,0.9395,0.6422,-0.9100, 0.0000, 0.2952
 -2.500,-0.3643, 0.00919, 0.00402, 0.0201,0.9318,0.6687,-0.8213, 0.0000, 0.3013
 -2.250,-0.3416, 0.00907, 0.00393, 0.0216,0.9209,0.6922,-0.7392, 0.0000, 0.3093
 -2.000,-0.3188, 0.00894, 0.00384, 0.0231,0.9116,0.7154,-0.6777, 0.0000, 0.3189
 -1.750,-0.2951, 0.00882, 0.00374, 0.0244,0.9022,0.7368,-0.6439, 0.0000, 0.3293
 -1.500,-0.2726, 0.00876, 0.00367, 0.0259,0.8913,0.7569,-0.6133, 0.0000, 0.3419
 -1.000,-0.2241, 0.00860, 0.00357, 0.0282,0.8699,0.7929,-0.5538, 0.0000, 0.3731
 -0.750,-0.1987, 0.00852, 0.00352, 0.0292,0.8585,0.8091,-0.5261, 0.0000, 0.3944
 -0.500,-0.1741, 0.00848, 0.00348, 0.0302,0.8459,0.8259,-0.4999, 0.0000, 0.4211
 -0.250,-0.1468, 0.00840, 0.00344, 0.0307,0.8320,0.8419,-0.4756, 0.0000, 0.4570
  0.000,-0.1214, 0.00836, 0.00337, 0.0315,0.8196,0.8570,-0.4548, 0.0000, 0.5080
  0.250,-0.0911, 0.00827, 0.00332, 0.0311,0.8046,0.8715,-0.4335, 0.0000, 0.5912
  0.500,-0.0635, 0.00821, 0.00321, 0.0315,0.7909,0.8862,-0.4136, 0.0000, 0.7466
  0.750,-0.0285, 0.00814, 0.00318, 0.0300,0.7743,0.9012,-0.3996, 0.0000, 1.3080
  1.000, 0.0096, 0.00812, 0.00311, 0.0279,0.7572,0.9144,-0.4245, 0.0000,-2.7022
  1.250, 0.0538, 0.00816, 0.00316, 0.0243,0.7386,0.9249,-0.4610, 0.0000,-0.2108
  1.500, 0.0961, 0.00828, 0.00319, 0.0212,0.7203,0.9331,-0.5005, 0.0000, 0.0231
  1.750, 0.1435, 0.00843, 0.00333, 0.0169,0.7008,0.9375,-0.5436, 0.0000, 0.1272
  2.000, 0.1854, 0.00865, 0.00346, 0.0139,0.6793,0.9429,-0.5839, 0.0000, 0.1703
  2.250, 0.2227, 0.00885, 0.00364, 0.0119,0.6567,0.9509,-0.6597, 0.0000, 0.1917
  2.500, 0.2633, 0.00911, 0.00386, 0.0092,0.6375,0.9555,-0.7722, 0.0000, 0.2103
  2.750, 0.3005, 0.00935, 0.00404, 0.0072,0.6189,0.9619,-0.9146, 0.0000, 0.2214
  3.000, 0.3361, 0.00958, 0.00423, 0.0054,0.6032,0.9691,-1.0585, 0.0000, 0.2291
  3.250, 0.3735, 0.00977, 0.00443, 0.0033,0.5847,0.9765,-1.2117, 0.0000, 0.2364
  3.500, 0.4106, 0.01002, 0.00459, 0.0012,0.5555,0.9847,-1.3699, 0.0000, 0.2422
  3.750, 0.4509, 0.01032, 0.00478,-0.0016,0.5237,0.9922,-1.5411, 0.0000, 0.2486
  4.000, 0.4936, 0.01058, 0.00492,-0.0050,0.4846,0.9975,-1.7235, 0.0000, 0.2551
  4.250, 0.5305, 0.01076, 0.00495,-0.0074,0.4380,1.0000,-1.8944, 0.0000, 0.2587
  4.500, 0.5529, 0.01087, 0.00505,-0.0068,0.4067,1.0000,-2.0447, 0.0000, 0.2569
  4.750, 0.5750, 0.01118, 0.00510,-0.0062,0.3433,1.0000,-2.1815, 0.0000, 0.2552
  5.000, 0.5955, 0.01219, 0.00542,-0.0059,0.2080,1.0000,-2.3055, 0.0000, 0.2541
  5.250, 0.6128, 0.01401, 0.00632,-0.0052,0.0591,1.0000,-2.3802, 0.0000, 0.2525
  5.500, 0.6331, 0.01465, 0.00700,-0.0040,0.0462,1.0000,-2.5123, 0.0000, 0.2502
  5.750, 0.6494, 0.01604, 0.00847,-0.0022,0.0380,1.0000,-2.6137, 0.0000, 0.2470
  6.000, 0.6706, 0.01649, 0.00896,-0.0011,0.0366,1.0000,-2.7917, 0.0000, 0.2450
  6.250, 0.6918, 0.01698, 0.00948,-0.0001,0.0344,1.0000,-2.9785, 0.0000, 0.2433
  6.500, 0.7127, 0.01754, 0.01007, 0.0010,0.0322,1.0000,-3.1688, 0.0000, 0.2416
  6.750, 0.7326, 0.01829, 0.01086, 0.0022,0.0309,1.0000,-3.3472, 0.0000, 0.2397
  7.000, 0.7525, 0.01907, 0.01169, 0.0035,0.0297,1.0000,-3.5286, 0.0000, 0.2379
  7.250, 0.7721, 0.01990, 0.01255, 0.0047,0.0285,1.0000,-3.7135, 0.0000, 0.2362
  7.500, 0.7915, 0.02085, 0.01364, 0.0060,0.0278,1.0000,-3.9048, 0.0000, 0.2345
  7.750, 0.8095, 0.02221, 0.01504, 0.0074,0.0262,1.0000,-4.0679, 0.0000, 0.2327
  8.000, 0.8251, 0.02493, 0.01795, 0.0091,0.0239,1.0000,-4.1339, 0.0000, 0.2305
  8.250, 0.8464, 0.02517, 0.01829, 0.0102,0.0225,1.0000,-4.3200, 0.0000, 0.2293
  8.500, 0.8655, 0.02642, 0.01968, 0.0116,0.0208,1.0000,-4.4286, 0.0000, 0.2277
  8.750, 0.8828, 0.02832, 0.02178, 0.0132,0.0198,1.0000,-4.4984, 0.0000, 0.2259
  9.000, 0.8982, 0.03067, 0.02438, 0.0150,0.0194,1.0000,-4.5447, 0.0000, 0.2239
  9.250, 0.9103, 0.03349, 0.02749, 0.0172,0.0194,1.0000,-4.5612, 0.0000, 0.2215
  9.500, 0.9177, 0.03675, 0.03110, 0.0197,0.0197,1.0000,-4.5455, 0.0000, 0.2186
  9.750, 0.9197, 0.04037, 0.03508, 0.0227,0.0202,1.0000,-4.5039, 0.0000, 0.2151
 10.000, 0.9161, 0.04421, 0.03925, 0.0260,0.0208,1.0000,-4.4463, 0.0000, 0.2112
 10.250, 0.9068, 0.04814, 0.04347, 0.0294,0.0215,1.0000,-4.3791, 0.0000, 0.2068
 10.500, 0.8911, 0.05207, 0.04766, 0.0330,0.0221,1.0000,-4.3041, 0.0000, 0.2018
 10.750, 0.8676, 0.05534, 0.05110, 0.0374,0.0225,1.0000,-4.2292, 0.0000, 0.1954
 11.000, 0.8418, 0.05939, 0.05534, 0.0399,0.0229,1.0000,-4.1334, 0.0000, 0.1906
 11.750, 0.7144, 0.08757, 0.08442, 0.0285,0.0334,1.0000,-3.0962, 0.0000, 0.1963
 12.000, 0.6787, 0.10129, 0.09821, 0.0191,0.0345,1.0000,-2.7680, 0.0000, 0.2077
 12.250, 0.6560, 0.10966, 0.10650, 0.0184,0.0379,1.0000,-2.6110, 0.0000, 0.2075
 12.500, 0.6420, 0.11911, 0.11596, 0.0128,0.0378,1.0000,-2.4161, 0.0000, 0.2155
 12.750, 0.6358, 0.12643, 0.12327, 0.0089,0.0377,1.0000,-2.2884, 0.0000, 0.2211
 13.000, 0.6383, 0.13191, 0.12873, 0.0047,0.0360,1.0000,-2.2050, 0.0000, 0.2276
 13.250, 0.6361, 0.13790, 0.13470, 0.0015,0.0347,1.0000,-2.1070, 0.0000, 0.2325
 13.500, 0.6349, 0.14337, 0.14016,-0.0011,0.0336,1.0000,-2.0333, 0.0000, 0.2364
 13.750, 0.6348, 0.14845, 0.14523,-0.0034,0.0327,1.0000,-1.9773, 0.0000, 0.2397
 14.000, 0.6358, 0.15321, 0.14997,-0.0055,0.0317,1.0000,-1.9349, 0.0000, 0.2428
 14.250, 0.6377, 0.15770, 0.15445,-0.0075,0.0309,1.0000,-1.9045, 0.0000, 0.2455
 14.500, 0.6404, 0.16195, 0.15869,-0.0093,0.0301,1.0000,-1.8837, 0.0000, 0.2480
 14.750, 0.6438, 0.16600, 0.16273,-0.0110,0.0294,1.0000,-1.8720, 0.0000, 0.2502
 15.000, 0.6478, 0.16987, 0.16660,-0.0126,0.0287,1.0000,-1.8688, 0.0000, 0.2523
 15.250, 0.6524, 0.17357, 0.17029,-0.0141,0.0281,1.0000,-1.8741, 0.0000, 0.2541
 15.500, 0.6577, 0.17711, 0.17383,-0.0154,0.0275,1.0000,-1.8888, 0.0000, 0.2557
 15.750, 0.6636, 0.18051, 0.17723,-0.0167,0.0270,1.0000,-1.9126, 0.0000, 0.2570
 16.000, 0.6700, 0.18365, 0.18036,-0.0178,0.0266,1.0000,-1.9453, 0.0000, 0.2581
 16.250, 0.6768, 0.18668, 0.18340,-0.0188,0.0261,1.0000,-2.0003, 0.0000, 0.2589
 16.500, 0.6835, 0.18982, 0.18654,-0.0197,0.0257,1.0000,-2.0708, 0.0000, 0.2597
 16.750, 0.6886, 0.19366, 0.19038,-0.0208,0.0252,1.0000,-2.1196, 0.0000, 0.2606
 17.000, 0.6829, 0.20259, 0.19926,-0.0230,0.0243,1.0000,-1.9678, 0.0000, 0.2639
 17.250, 0.6882, 0.20675, 0.20343,-0.0248,0.0243,1.0000,-1.9744, 0.0000, 0.2660
 17.500, 0.6937, 0.21093, 0.20760,-0.0266,0.0243,1.0000,-1.9814, 0.0000, 0.2680
 17.750, 0.6992, 0.21510, 0.21178,-0.0285,0.0242,1.0000,-1.9881, 0.0000, 0.2700
 18.000, 0.7046, 0.21923, 0.21591,-0.0304,0.0242,1.0000,-1.9932, 0.0000, 0.2721
 18.250, 0.7100, 0.22327, 0.21995,-0.0323,0.0242,1.0000,-1.9964, 0.0000, 0.2742
 18.500, 0.7155, 0.22719, 0.22387,-0.0344,0.0241,1.0000,-1.9982, 0.0000, 0.2763
 18.750, 0.7211, 0.23112, 0.22780,-0.0363,0.0240,1.0000,-1.9996, 0.0000, 0.2783
 19.000, 0.7267, 0.23506, 0.23173,-0.0383,0.0239,1.0000,-1.9987, 0.0000, 0.2803
 19.250, 0.7320, 0.23876, 0.23544,-0.0405,0.0236,1.0000,-1.9843, 0.0000, 0.2826
 19.500, 0.7357, 0.24191, 0.23858,-0.0441,0.0227,1.0000,-1.9065, 0.0000, 0.2867
 19.750, 0.7418, 0.24602, 0.24269,-0.0468,0.0199,1.0000,-1.8489, 0.0000, 0.2896
 20.000, 0.7477, 0.25003, 0.24675,-0.0486,0.0181,1.0000,-1.8569, 0.0000, 0.2911


