xflr5 v6.11

 Calculated polar for: USNPS4 (smoothed)

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.300 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
-20.000,-0.4693, 0.24002, 0.23653,-0.0132,1.0000,0.0133,-1.5762, 0.0000, 0.1949
-19.750,-0.4642, 0.23761, 0.23413,-0.0143,1.0000,0.0133,-1.5669, 0.0000, 0.1925
-19.500,-0.4594, 0.23541, 0.23194,-0.0154,1.0000,0.0133,-1.5573, 0.0000, 0.1901
-19.250,-0.4543, 0.23304, 0.22958,-0.0164,1.0000,0.0133,-1.5433, 0.0000, 0.1878
-19.000,-0.4491, 0.23051, 0.22705,-0.0174,1.0000,0.0133,-1.5259, 0.0000, 0.1856
-16.500,-0.3954, 0.19631, 0.19293,-0.0233,1.0000,0.0141,-1.4778, 0.0000, 0.1671
-16.250,-0.3898, 0.19331, 0.18993,-0.0235,1.0000,0.0143,-1.4504, 0.0000, 0.1659
-16.000,-0.3845, 0.19050, 0.18713,-0.0238,1.0000,0.0144,-1.4255, 0.0000, 0.1646
-15.750,-0.3794, 0.18780, 0.18445,-0.0240,1.0000,0.0146,-1.4030, 0.0000, 0.1633
-15.500,-0.3745, 0.18516, 0.18183,-0.0243,1.0000,0.0148,-1.3829, 0.0000, 0.1621
-15.250,-0.3698, 0.18257, 0.17925,-0.0245,1.0000,0.0149,-1.3648, 0.0000, 0.1608
-15.000,-0.3653, 0.18001, 0.17670,-0.0248,1.0000,0.0151,-1.3488, 0.0000, 0.1596
-14.750,-0.3609, 0.17745, 0.17416,-0.0250,1.0000,0.0153,-1.3347, 0.0000, 0.1584
-14.500,-0.3567, 0.17491, 0.17163,-0.0252,1.0000,0.0155,-1.3223, 0.0000, 0.1573
-14.250,-0.3527, 0.17237, 0.16911,-0.0254,1.0000,0.0158,-1.3116, 0.0000, 0.1563
-14.000,-0.3489, 0.16983, 0.16659,-0.0256,1.0000,0.0160,-1.3025, 0.0000, 0.1554
-13.750,-0.3453, 0.16729, 0.16407,-0.0257,1.0000,0.0162,-1.2957, 0.0000, 0.1546
-13.500,-0.3419, 0.16475, 0.16155,-0.0258,1.0000,0.0165,-1.2904, 0.0000, 0.1539
-13.250,-0.3386, 0.16221, 0.15902,-0.0259,1.0000,0.0168,-1.2863, 0.0000, 0.1533
-13.000,-0.3356, 0.15967, 0.15650,-0.0259,1.0000,0.0171,-1.2835, 0.0000, 0.1529
-12.750,-0.3328, 0.15712, 0.15398,-0.0259,1.0000,0.0174,-1.2819, 0.0000, 0.1526
-12.500,-0.3302, 0.15459, 0.15146,-0.0259,1.0000,0.0177,-1.2815, 0.0000, 0.1525
-12.250,-0.3279, 0.15206, 0.14896,-0.0258,1.0000,0.0181,-1.2825, 0.0000, 0.1526
-12.000,-0.3259, 0.14955, 0.14646,-0.0257,1.0000,0.0184,-1.2846, 0.0000, 0.1529
-11.750,-0.3241, 0.14704, 0.14398,-0.0255,1.0000,0.0188,-1.2880, 0.0000, 0.1534
-11.500,-0.3227, 0.14456, 0.14152,-0.0253,1.0000,0.0193,-1.2928, 0.0000, 0.1541
-11.250,-0.3216, 0.14209, 0.13903,-0.0251,1.0000,0.0197,-1.2985, 0.0000, 0.1550
-11.000,-0.3207, 0.13965, 0.13661,-0.0248,1.0000,0.0202,-1.3066, 0.0000, 0.1561
-10.750,-0.3202, 0.13721, 0.13420,-0.0245,1.0000,0.0207,-1.3170, 0.0000, 0.1575
-10.500,-0.3200, 0.13482, 0.13184,-0.0242,1.0000,0.0213,-1.3309, 0.0000, 0.1590
-10.250,-0.3202, 0.13254, 0.12958,-0.0238,1.0000,0.0220,-1.3509, 0.0000, 0.1606
-10.000,-0.3213, 0.13050, 0.12758,-0.0236,1.0000,0.0226,-1.3804, 0.0000, 0.1622
 -9.750,-0.3237, 0.12872, 0.12583,-0.0234,1.0000,0.0231,-1.4162, 0.0000, 0.1640
 -9.500,-0.3272, 0.12694, 0.12409,-0.0231,1.0000,0.0234,-1.4505, 0.0000, 0.1663
 -9.250,-0.3314, 0.12509, 0.12228,-0.0227,1.0000,0.0235,-1.4827, 0.0000, 0.1692
 -9.000,-0.3285, 0.12240, 0.11961,-0.0245,0.9991,0.0237,-1.5141, 0.0000, 0.1635
 -8.750,-0.3155, 0.11864, 0.11584,-0.0288,0.9968,0.0238,-1.5379, 0.0000, 0.1464
 -8.500,-0.3019, 0.11474, 0.11195,-0.0329,0.9939,0.0239,-1.5530, 0.0000, 0.1286
 -8.250,-0.2879, 0.11077, 0.10798,-0.0373,0.9914,0.0240,-1.5700, 0.0000, 0.1079
 -8.000,-0.2774, 0.10700, 0.10422,-0.0408,0.9875,0.0240,-1.5901, 0.0000, 0.0903
 -7.750,-0.2664, 0.10314, 0.10036,-0.0448,0.9835,0.0241,-1.6132, 0.0000, 0.0692
 -7.500,-0.2530, 0.09901, 0.09624,-0.0500,0.9805,0.0241,-1.6399, 0.0000, 0.0396
 -7.250,-0.2439, 0.09493, 0.09216,-0.0539,0.9731,0.0241,-1.6690, 0.0000, 0.0165
 -7.000,-0.2214, 0.08961, 0.08682,-0.0613,0.9692,0.0242,-1.6991, 0.0000,-0.0402
 -6.500,-0.1860, 0.07996, 0.07710,-0.0720,0.9574,0.0242,-1.7729, 0.0000,-0.1512
 -6.250,-0.1604, 0.07451, 0.07157,-0.0786,0.9539,0.0243,-1.8194, 0.0000,-0.2559
 -6.000,-0.1305, 0.06874, 0.06569,-0.0856,0.9516,0.0243,-1.8809, 0.0000,-0.4247
 -5.750,-0.1368, 0.05945, 0.05632,-0.0881,0.9414,0.0256,-2.1246, 0.0000,-0.4114
 -5.500,-0.1143, 0.05680, 0.05367,-0.0900,0.9377,0.0269,-1.9576, 0.0000,-0.5570
 -5.250,-0.0847, 0.05427, 0.05111,-0.0931,0.9351,0.0295,-1.8053, 0.0000,-0.8742
 -5.000,-0.0284, 0.05274, 0.04922,-0.0997,0.9329,0.0378,-1.8300, 0.0000,-3.3277
 -4.750, 0.0094, 0.04895, 0.04518,-0.1041,0.9313,0.0380,-1.7889, 0.0000,11.4759
 -4.250, 0.0383, 0.03867, 0.03467,-0.1055,0.9160,0.0411,-1.7250, 0.0000, 3.0475
 -4.000, 0.0719, 0.03728, 0.03326,-0.1081,0.9135,0.0457,-1.4876, 0.0000, 1.7769
 -3.750, 0.1122, 0.03475, 0.03051,-0.1112,0.9116,0.0499,-1.3627, 0.0000, 1.2553
 -3.500, 0.1605, 0.03489, 0.03029,-0.1137,0.9101,0.0543,-1.2629, 0.0000, 0.9672
 -3.250, 0.2021, 0.03274, 0.02787,-0.1167,0.9088,0.0546,-1.2107, 0.0000, 0.8337
 -2.500, 0.2817, 0.02310, 0.01776,-0.1185,0.8898,0.0614,-1.0929, 0.0000, 0.6738
 -2.250, 0.3251, 0.02121, 0.01566,-0.1214,0.8872,0.0637,-1.0237, 0.0000, 0.6258
 -2.000, 0.3723, 0.01646, 0.01000,-0.1224,0.8851,0.0358,-1.3439, 0.0000, 0.5806
 -1.750, 0.4173, 0.01490, 0.00823,-0.1254,0.8821,0.0370,-1.3010, 0.0000, 0.5519
